"--Please Select--","--Παρακαλούμε Επιλέξτε--"
"API Login ID","API Login ID"
"Accepted Currency","Αποδεκτό Νόμισμα"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Το ποσό των %s εγκρίθηκε από την πύλη πληρωμής. Αριθμός Συναλλαγής: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Κλείσιμο"
"Credit Card Information","Στοιχεία Πιστωτικής Κάρτας"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Expiration Date","Ημ/μηνία Λήξης"
"Gateway URL","Gateway URL"
"Maximum Order Total","Μέγιστο Γενικό Σύνολο Παραγγελίας"
"Merchant MD5","Εμπορικό MD5"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Γενικό Σύνολο Παραγγελίας"
"New Order Status","Κατάσταση Νέας Παραγγελίας"
"Order saving error: %s","Σφάλμα αποθήκευσης παραγγελίας: %s"
"Payment Action","Ενέργεια Πληρωμής"
"Payment authorization error.","Σφάλμα έγκρισης πληρωμής"
"Payment authorization error. Transacion id is empty.","Σφάλμα έγκρισης πληρωμής. Ο αριθμός συναλλαγής είναι κενός."
"Payment error. Order was not found.","Σφάλμα Πληρωμής. Η παραγγελία δεν βρέθηκε."
"Payment error. Paid amount doesn\'t match the order amount.","Σφάλμα Πληρωμής. Το ποσό πληρωμής διαφέρει από το ποσό παραγγελίας."
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Please, choose payment method","Παρακαλούμε, επιλέξτε μέθοδο πληρωμής"
"Response hash validation failed. Transaction declined.","Η αξιολόγηση της απόκρισης του αποτυπώματος απέτυχε. Η συναλλαγή απορρίφθηκε. "
"Sort Order","Κανόνας Ταξινόμησης"
"Test Mode","Δοκιμαστική Λειτουργία"
"The order has been created.","Η παραγγελία δημιουργήθηκε. "
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"Title","Τίτλος"
"Transaction Key","Κλειδί Συναλλαγής"
"What is this?","Τι είναι αυτό;"
"You will be required to enter your payment details before you place an order.","Θα σας ζητηθείν να συμπληρώσετε τα στοιχεία πληρωμής πριν πραγματοποιήσετε την παραγγελία σας."
