"# of Use","# χρήσης"
"%1$s incl tax.","%1$s συμπ.φόρου."
"%s - %s","%s - %s"
"%s Item(s)","%s Προϊόν(τα)"
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και πάνω"
"(%d)","(%d)"
"(Copy data from: %s)","(Αντιγραφή στοιχείων από: %s)"
"* Required Fields","* Υποχρεωτικά Πεδία"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 από προεπιλογή, αν δεν τεθεί. Για άμεση ανανέωση, Καθαρίστε την μνήμη Cache των Blocks HTML Output."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Προειδοποίηση!</strong> Η εφαρμογή της ΕΔΤ από προεπιλογή θα εξαφανίσει όλες οι τιμές προϊόντων στο κατάστημα."
"A group with the same name already exists.","Υπάρχει ήδη ομάδα με το ίδιο όνομα."
"A name is required","Απαιτείται ένα όνομα"
"A product type is not defined for the indexer.","Δεν έχει οριστεί τύπος προϊόντος για τη δημιουργία ευρετηρίου."
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"AM","ΠΜ"
"Action","Ενέργεια"
"Actual Price","Πραγματική Τιμή"
"Add","Προσθήκη"
"Add Attribute","Προσθήκη Χαρακτηριστικού"
"Add Design Change","Προσθήκη Αλλαγής Design"
"Add Group","Προσθήκη Ομάδας"
"Add Group Price","Προσθήκη Τιμής Ομάδας"
"Add New","Προσθήκη Νέου"
"Add New Attribute","Προσθήκη Νέου Χαρακτηριστικού"
"Add New Attribute Set","Προσθήκη Νέου Συνόλου Χαρακτηριστικών"
"Add New Group","Προσθήκη Νέας Ομάδας"
"Add New Images","Προσθήκη Νέων Εικόνων"
"Add New Option","Προσθήκη Νέας Επιλογής"
"Add New Row","Προσθήκη Νέας Γραμμής"
"Add New Search Term","Προσθήκη Νέου Όρου Αναζήτησης"
"Add New Set","Προσθήκη Νέου Συνόλου"
"Add Product","Προσθήκη Προϊόντος"
"Add Product To Websites","Προσθήκη Προϊόντος Σε Ιστότοπους"
"Add Root Category","Προσθήκη Βασικής Κατηγορίας"
"Add Subcategory","Προσθήκη Υποκατηγορίας"
"Add Tax","Προσθήκη Φόρου"
"Add Tier","Τιμή Πολλαπλών Τεμαχίων(Tier)"
"Add attribute into attribute set","Προσθήκη χαρακτηριστικού σε σύνολο χαρακτηριστικών"
"Add group into attribute set","Προσθήκη ομάδας σε σύνολο χαρακτηριστικών"
"Add new custom option into product","Προσθήκη νέας προσαρμοσμένης επιλογής στο προϊόν"
"Add new values into custom option","Προσθήκη νέων τιμών σε προσαρμοσμένη επιλογή"
"Add option","Προσθήκη επιλογής"
"Add to Cart","Αγορά"
"Add to Compare","Στη Σύγκριση"
"Add to Wishlist","Στα Επιθυμητά"
"Additional Information","Επιπρόσθετες Πληροφορίες"
"Alert Urls","Urls Ειδοποιήσεων"
"All","Όλα"
"All Product Types","Όλοι οι Τύποι Προϊόντων"
"All Websites","Όλους τους Ιστότοπους"
"All products","Όλα τα προϊόντα"
