"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Κανόνες Τιμής Καταλόγου που βασίζονται στο ""%s"" χαρακτηριστικό έχουν απενεργοποιηθεί."
"Actions","Ενέργειες"
"Active","Ενεργό"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"An error occurred while deleting the rule. Please review the log and try again.","Προέκυψε σφάλμα κατά τη διαγραφή του κανόνα. Εξετάστε το αρχείο καταγραφής και προσπαθήστε πάλι."
"An error occurred while saving the rule data. Please review the log and try again.","Προέκυψε σφάλμα κατά την αποθήκευση των δεδομένων του κανόνα. Εξετάστε το αρχείο καταγραφής και προσπαθήστε πάλι."
"Apply","Εφαρμογή"
"Apply Rules","Εφαρμογή Κανόνων"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"By Fixed Amount","Κατά Σταθερό Ποσό"
"By Percentage of the Original Price","Κατά Ποσοστό από την Αρχική Τιμή"
"Catalog","Κατάλογος"
"Catalog Price Rule","Κανόνας Τιμής Καταλόγου"
"Catalog Price Rules","Κανόνες Τιμής Καταλόγου"
"Category","Κατηγορία"
"Conditions","Συνθήκες"
"Conditions (leave blank for all products)","Συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Customer Groups","Ομάδες πελατών"
"Date Expire","Ημερομηνία λήξης"
"Date From","Ημερομηνία από"
"Date Start","Έναρξη την ημερομηνία"
"Date To","Ημερομηνία ως"
"Description","Περιγραφή"
"Discount Amount","Ποσό Έκπτωσης"
"Edit Rule","Επεξεργασία κανόνα"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Enable Discount to Subproducts","Ενεργοποίηση Εκπτώσεων στα Υποπροϊόντα "
"Expiration Date","Ημ/μηνία Λήξης"
"From Date","Από Ημερομηνία"
"General Information","Γενικές πληροφορίες"
"ID","ID"
"Inactive","Ανενεργό"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"Options","Επιλογές"
"Priority","Προτεραιότητα"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Promotions","Προσφορές/Διαφημίσεις"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα Κανόνα"
"Save and Apply","Αποθήκευση και εφαρμογή"
"Save and Continue Edit","Αποθήκευση και Συνέχιση της Επεξεργασίας"
"Start Date","Ημερομηνία Έναρξης"
"Status","Κατάσταση"
"Stop Further Rules Processing","Να μην Επεξεργαστούν Άλλοι Κανόνες"
"The rule has been deleted.","Ο κανόνας έχει διαγραφεί."
"The rule has been saved.","Ο κανόνας έχει αποθηκευτεί."
"The rules have been applied.","Οι κανόνες έχουν εφαρμοστεί."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Υπάρχουν κανόνες που έχουν μεταβληθεί αλλά δεν έχουν εφαρμοστεί. Μόνο οι χρήστες με αποκλειστική πρόσβαση μπορούν να τους εφαρμόσουν. "
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Υπάρχουν κανόνες που έχουν μεταβληθεί αλλά δεν έχουν εφαρμοστεί. Παρακαλώ πατήστε Εφαρμογή Κανόνων για να δείτε άμεσα τα αποτελέσματα στον κατάλογο."
"This rule no longer exists.","Αυτός ο κανόνας δεν υπάρχει πλέον."
"To Date","Μέχρι Ημερομηνία"
"To Fixed Amount","Σε Σταθερό Ποσό"
"To Percentage of the Original Price","Σε Ποσοστό από την Αρχική Τιμή"
"Type","Τύπος"
"Unable to apply rules.","Δεν ήταν δυνατή έφαρμογή των κανόνων."
"Unable to find a rule to delete.","Δεν ήταν δυνατη η εύρεση του κανόνα για διαγραφή"
"Update Prices Using the Following Information","Ενημέρωση των Τιμών Χρησιμοποιώντας τις Παρακάτω Πληροφορίες"
"Update product's %s %s: %s","Ενημέρωση προϊόντος %s %s: %s"
"Website","Ιστότοπος"
"Websites","Ιστότοποι"
"Wrong rule specified.","Καθορίστηκε Λάθος κανόνας"
"Yes","Ναι"
