"%s and greater","%s και μεγαλύτερο"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d είδος(η)</strong> βρέθηκαν χρησιμοποιώντας τα παρακάτω κριτήρια αναζήτησης"
"Advanced Search","Προχωρημένη αναζήτηση"
"Advanced Search Form","Φόρμα Προχωρημένης Αναζήτησης"
"Advanced Search Result","Αποτελέσματα Προχωρημένης Αναζήτησης"
"All","Όλα"
"Applies for ""Like"" search type only.","Ισχύει μόνο για αναζήτηση τύπου ""Like"""
"Apply Layered Navigation if Search Results are Less Than","Χρήση Πλοήγησης με Επίπεδα εάν τα Αποτελέσματα Αναζήτησης είναι Λιγότερα Από"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Η αλλαγή ρύθμισης χαρακτηριστικού σχετίζεται με τo Ευρετήριο Αναζήτησης. Παρακαλούμε τρέξτε <a href=""%s"">Ανακατασκευή Ευρετηρίου Αναζήτησης</a> επεξεργασία."
"Autogenerated Site Map","Αυτοπαραγώμενος Χάρτης Ιστότοπου "
"Catalog Advanced Search","Προχωρημένη Αναζήτηση Καταλόγου"
"Catalog Search","Αναζήτηση Καταλόγου"
"Catalog Search Index","Ευρετήριο Αναζήτησης Καταλόγου "
"Don't see what you're looking for?","Δεν βρίσκετε αυτό που ψάχνετε;"
"Enter ""0"" to enable layered navigation for any number of results.","Εισάγετε ""0"" για ενεργοποίηση της πλοήγησης με επίπεδα για οποιοδήποτε αριθμό αποτελεσμάτων."
"Go","Μετάβαση"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Home","Αρχική"
"List","Λίστα"
"Maximum Query Length","Μέγιστο Μήκος Ερωτήματος"
"Maximum Query Words Count","Μέγιστος Αριθμός Λέξεων Ερωτήματος"
"Maximum Search query length is %s. Your query was cut.","Μέγιστο μήκος ερωτήματος Αναζήτησης είναι %s. Το ερώτημά σας κόπηκε."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Μέγιστος αριθμός λέξεων είναι %1$s. Το ερώτημα αναζήτησής σας κόπηκε στο επόμενο μέρος: %2$s."
"Minimal Query Length","Ελάχιστο Μήκος Ερωτήματος"
"Minimum Search query length is %s","Το ελάχιστο Μήκος Ερωτήματος είναι %s"
"Modify your search","Τροποποιήστε την αναζήτησή σας"
"No","Όχι"
"No items were found using the following search criteria.","Δεν βρέθηκαν αποτελέσματα χρησιμοποιώντας τα παρακάτω κριτήρια αναζήτησης. "
"Please specify at least one search term.","Παρακαλούμε συμπληρώστε τουλάχιστον έναν όρο αναζήτησης."
"Popular Search Terms","Δημοφιλή Κριτήρια Αναζήτησης"
"Quick Search Form","Φόρμα Γρήγορης Αναζήτησης"
"Rebuild Catalog product fulltext search index","Ανακατασκευή ευρετηρίου αναζήτησης πλήρους κειμένου Καταλόγου Προϊόντων"
"Relevance","Συνάφεια"
"Results","Αποτελέσματα"
"Search","Αναζήτηση"
"Search Settings","Ρυθμίσεις Αναζήτησης"
"Search Terms","Κριτήρια αναζήτησης"
"Search Type","Τύπος Αναζήτησης"
"Search entire store here...","Αναζήτηση σε όλο το κατάστημα εδώ..."
"Search results for '%s'","Αποτελέσματα αναζήτησης για '%s'"
"Search results for: '%s'","Αποτελέσματα αναζήτησης για: '%s'"
"Search:","Αναζήτηση:"
"Specified date is invalid.","Η καθορισμένη ημ/νία είναι άκυρη."
"Subscribe to Feed","Εγγραφή στη Τροφοδοσία (Feed)"
"There are no search terms available.","Δεν υπάρχουν κριτήρια αναζήτησης διαθέσιμα."
"Yes","Ναι"
"Your search returns no results.","Η αναζήτησή σας δεν επιστρέφει αποτελέσματα."
"up to %s","έως %s"
