"%s was added to your shopping cart.","%s προστέθηκε στο καλάθι αγορών σας."
"%s was updated in your shopping cart.","%s ενημερώθηκε στο καλάθι αγορών σας."
"* Required Fields","* Υποχρεωτικά Πεδία"
"Add New Address","Προσθήκη Νέα Διεύθυνσης"
"Add New Condition","Προσθήκη Νέας Συνθήκης"
"Add coupon code for shopping cart","Προσθήκη κωδικού κουπονιού για το καλάθι αγορών"
"Add gift messages to shopping cart","Προσθήκη μηνυμάτων δώρων στο καλάθι αγορών"
"Add product to shopping cart","Προσθήκη προϊόντος στο καλάθι αγορών"
"Add product(s) to shopping cart","Προσθήκη προϊόντος(ων) στο καλάθι αγορών"
"Add to Cart","Πρόσθεση στο Καλάθι"
"Add to Compare","Προσθήκη για σύγκριση"
"Add to Wishlist","Πρόσθεση στα Επιθυμητά"
"Additional Product Info","Πρόσθετες Πληροφορίες Προϊόντος"
"Address","Διεύθυνση"
"Address %s of %s","Διεύθυνση %s του %s"
"After Adding a Product Redirect to Shopping Cart","Μετά την Προσθήκη Προϊόντος Ανακατεύθυνση στο Καλάθι Αγορών"
"Allow Guest Checkout","Να Επιτρέπεται Αγορά από Επισκέπτες"
"Already registered?","Είστε ήδη εγγεγραμμένος;"
"An error occurred in the process of payment","Προέκυψε σφάλμα κατά τη διαδικασία πληρωμής"
"An error occurred while deleting this condition.","Προέκυψε σφάλμα κατά τη διαγραφή αυτής της συνθήκης."
"An error occurred while saving this condition.","Προέκυψε σφάλμα κατά την αποθήκευση αυτής της συνθήκης."
"Apply","Εφαρμογή"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Είστε σίγουροι ότι θέλετε να αφήσετε τη σελίδα; Θα χρειαστεί να προχωρήσετε πάλι, μέσω των βημάτων ολοκλήρωσης αγορών."
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το είδος από το Καλάθι;"
"Back","Πίσω"
"Back to Billing Information","Πίσω στις Πληροφορίες Χρέωσης"
"Back to Select Addresses","Πίσω στην Επιλογή Διευθύνσεων"
"Back to Shipping Information","Επιστροφή στις Πληροφορίες Αποστολής"
"Back to Shopping Cart","Πίσω στο Καλάθι Αγορών"
"Based on your selection, you may be interested in the following items:","Με βάση την επιλογή σας, μπορεί να σας ενδιαφέρουν και τα ακόλουθα είδη:"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Information","Στοιχεία Χρέωσης"
"Billing Information - %s","Στοιχεία Χρέωσης - %s"
"Can not remove the item.","Δεν μπορεί να διαγραφεί το είδος."
"Can not save item.","Δεν μπορεί να αποθηκευτεί το είδος."
"Cancel","Ακύρωση"
"Cancel Coupon","Ακύρωση Κουπονιού"
"Cannot add item to the shopping cart.","Δεν ήταν δυνατή η προσθήκη είδους στο καλάθι αγορών."
"Cannot add the item to shopping cart","Δεν ήταν δυνατή η προσθήκη του είδους στο καλάθι αγορών"
"Cannot add the item to shopping cart.","Δεν ήταν δυνατή η προσθήκη του είδους στο καλάθι αγορών."
"Cannot apply the coupon code.","Δεν ήταν δυνατή η εφαρμογή του κωδικού κουπονιού."
"Cannot configure product.","Αδύνατη η διαμόρφωση προϊόντος. "
"Cannot open the overview page","Αδύνατο το άνοιγμα σελίδας προεπισκόπισης"
"Cannot process the item.","Αδύνατη η επεξεργασία του είδους."
"Cannot remove the item.","Αδύνατη η κατάργηση του είδους."
"Cannot update shopping cart.","Αδύνατη η ενημέρωση του καλαθιού αγορών."
"Cannot update the item.","Αδύνατη η ανανέωση του είδους."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart","Καλάθι"
"Cart Product API","API Προϊόντων Καλαθιού "
"Cart Subtotal:","Μερικό Σύνολο Καλαθιού: "
"Change","Αλλαγή"
"Change Billing Address","Αλλαγή Διεύθυνσης Χρέωσης"
"Checkbox Text","Κείμενο Πεδίου Επιλογής "
"Checkout","Ολοκλήρωση Αγορών"
"Checkout Conditions","Συνθήκες Ολοκλήρωσης Αγορών"
