"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Σύνδεσμος</a>"
"Actions XML is not valid.","Το XML Ενεργειών δεν είναι έγκυρο."
"An error occurred while opening file: ""%s"".","Ένα σφάλμα προέκυψε ενώ ανοίγατε το αρχείο: ""%s""."
"Could not load file: ""%s"".","Δεν ήταν δυνατή η φόρτωση του αρχείου: ""%s""."
"Could not save file: %s.","Δεν ήταν δυνατή η αποθήκευση του αρχείου: %s."
"Declared adapter %s was not found.","Ο δηλωμένος προσαρμογέας %s ,δεν βρέθηκε."
"Destination folder ""%s"" is not a directory.","Ο φάκελος προορισμού ""%s"", δεν είναι κατάλογος."
"Destination folder ""%s"" is not writable.","Ο φάκελος προορισμού  ""%s"" δεν είναι εγγράψιμος."
"Done","Ολοκληρώθηκε"
"Dry run set, stopping execution.","Dry run set, παύση εκτέλεσης."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Σφάλμα στη χαρτογράφηση πεδίων: η λίστα πεδίων για χαρτογράφηση δεν είναι καθορισμένη."
"File ""%s"" does not exist.","Το αρχείο ""%s"" δεν υπάρχει."
"Found %d rows.","Βρέθηκαν %d γραμμές."
"Less than a minute","Λιγότερο από λεπτό"
"Loaded successfully: ""%s"".","Φορτώθηκε με επιτυχία: ""%s""."
"Memory Used: %s","Μνημη που χρησιμοποιείται: %s"
"Method ""%s"" not defined in adapter %s.","Η μέθοδος ""%s"" δεν καθορίστηκε στον προσαρμογέα %s."
"Method ""%s"" was not defined in adapter %s.","Η μέθοδος ""%s"" δεν ήταν καθορισμένη στον προσαρμογέα %s."
"Please declare ""adapter"" and ""method"" nodes first.","Παρακαλούμε, δηλώστε πρώτα, τους κόμβους του ""προσαρμογέα"" και της ""μεθόδου""."
"Processed records: %s","Επεξεργασμένες εγγραφές: %s"
"Profile with the same name already exists.","Υπάρχει ήδη Προφίλ, με το ίδιο όνομα."
"Saved successfully: ""%s"" [%d byte(s)].","Αποθηκεύτηκε με επιτυχία: ""%s"" [%d byte(s)]."
"Sheet 1","Φύλλο Εργασίας 1"
"Skip undefined row.","Παράλειψη απροσδιόριστης γραμμής."
"Starting %s :: %s","Εκκίνηση %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Ο φάκελος προορισμού ""%s"" δεν υπάρχει, ή δεν έχετε αρμοδιότητα να τον δημιουργήσετε."
"Total records: %s","Σύνολο εγγραφών: %s"
"hour","ώρα"
"hours","ώρες"
"minute","λεπτό"
"minutes","λεπτά"
