"Add","Προσθήκη"
"Add New Row","Προσθήκη Νέας Γραμμής"
"Add links and samples to downloadable product","Προσθήκη συνδέσμων και δειγμάτων στα downloadable προϊόντα"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Χαρακτήρες Αλφαριθμητικοί, πάνω και κάτω παύλες συνιστούνται για ονόματα αρχείων. Εσφαλμένοι χαρακτήρες αντικαθιστούνται με \'_\'."
"An error occurred while getting the requested content.","Ένα σφάλμα προέκυψε ενώ λαμβάνατε το αιτούμενο περιεχόμενο."
"An error occurred while getting the requested content. Please contact the store owner.","Ένα σφάλμα προέκυψε ενώ λαμβάνατε το αιτούμενο περιεχόμενο. Παρακαλούμε επικοινωνήστε μαζί μας."
"An error occurred while saving the file(s).","Ένα σφάλμα προέκυψε ενώ αποθηκεύατε το αρχείο (τα αρχεία)."
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Canceled","Έχει Ακυρωθεί"
"Cannot connect to remote host, error: %s.","Δεν μπορεί να συνδεθεί στον απομακρυσμένο host, σφάλμα: %s."
"Catalog Product View (Downloadable)","Εμφάνιση Καταλόγου Προϊόντων (Downloadable)"
"Category API","Κατηγορίες API"
"Customer My Account Downloadable Items","Αποθηκευμένα Είδη στο Λογαριασμό του Πελάτη"
"Date","Ημερομηνία"
"Default Link Title","Προκαθορισμένος Τίτλος Συνδέσμου"
"Default Maximum Number of Downloads","Προκαθορισμένος Μέγιστος Αριθμός Λήψεων"
"Default Sample Title","Προκαθορισμένος Τίτλος Δείγματος"
"Delete","Διαγραφή"
"Disable Guest Checkout if Cart Contains Downloadable Items","Απενεργοποίηση της Ολοκλήρωσης Αγορών του Επισκέπτη αν το Καλάθι Αγορών Περιέχει Downloadable Είδη"
"Downloadable Information","Πληροφορίες Διαθέσιμες για Λήψη"
"Downloadable Product","Downloadable Προϊόν"
"Downloadable Product Options","Επιλογές Downloadable Προϊόντος"
"Downloadable Product Section","Τμήμα Downloadable Προϊόντος"
"Edit","Επεξεργασία"
"Edit item parameters","Επεξεργασία παραμέτρων είδους"
"Excl. Tax","Μη Συμπ. Φόρος"
"File","Αρχείο"
"From:","Από:"
"Gift Message","Μήνυμα Δώρου"
"Go to <a href=""%s"">My Downloadable Products</a>","Μετάβαση στο <a href=""%s"">Τα Αποθηκευμένα Προϊόντα Μου</a>"
