"""%s"" contains not only digit characters.","Το ""%s"" δεν περιέχει μόνο αριθμητικούς χαρακτήρες."
"""%s"" does not fit the entered date format.","Το ""%s"" δεν ταιριάζει με τη καταχωρημένη μορφή ημερομηνίας."
"""%s"" exceeds the allowed file size.","Το ""%s"" υπερβαίνει το επιτρεπόμενο μέγεθος αρχείου."
"""%s"" exceeds the allowed length.","Το ""%s"" υπερβαίνει το επιτρεπόμενο μήκος."
"""%s"" has not only alphabetic and digit characters.","Το ""%s"" δεν έχει μόνο αλφαβητικούς και αριθμητικούς χαρακτήρες. "
"""%s"" has not only alphabetic characters.","Το ""%s"" δεν έχει μόνο αλφαβητικούς χαρακτήρες."
"""%s"" height exceeds allowed value of %s px.","Το ""%s"" το ύψος υπερβαίνει την επιτρεπόμενη τιμή των %s px."
"""%s"" invalid type entered.","Το ""%s"" καταχωρήθηκε μη έγκυρη τιμή."
"""%s"" is a required value.","Το ""%s"" είναι υποχρεωτική τιμή."
"""%s"" is an empty string.","Το ""%s"" είναι κενή ακολουθία."
"""%s"" is not a valid URL.","Το ""%s"" δεν είναι έγκυρο URL."
"""%s"" is not a valid date.","Η ""%s"" δεν είναι έγκυρη ημερομηνία."
"""%s"" is not a valid email address.","Η ""%s"" δεν είναι έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"""%s"" is not a valid file","Το ""%s"" δεν είναι έγκυρο αρχείο"
"""%s"" is not a valid file extension.","Η ""%s"" δεν είναι έγκυρη επέκταση αρχείου."
"""%s"" is not a valid file.","Το ""%s"" δεν είναι έγκυρο αρχείο."
"""%s"" is not a valid hostname.","Το ""%s"" δεν είναι έγκυρο hostname."
"""%s"" is not a valid image format","Η ""%s"" δεν είναι έγκυρη μορφοποίηση εικόνας"
"""%s"" length must be equal or greater than %s characters.","Το ""%s"" μήκος πρέπει να είναι ίσο ή μεγαλύτερο από %s χαρακτήρες."
"""%s"" length must be equal or less than %s characters.","Το ""%s"" μήκος πρέπει να είναι ίσο ή μικρότερο από %s χαρακτήρες."
"""%s"" width exceeds allowed value of %s px.","Το ""%s"" πλάτος υπερβαίνει την επιτρεπόμενη τιμή των %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","Το '%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν μπορεί να εξαγάγει το τμήμα TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","Το '%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν μπορεί να ταιριάξει το TLD έναντι γνωστής λίστας"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","Το '%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν μπορεί να ταιριάξει έναντι του σχήματος hostname για το TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","Το '%value%' φαίνεται να είναι ένα DNS hostname αλλά περιέχει μία παύλα σε λάθος θέση"
