"Active","Ενεργό"
"Add Attribute Mapping","Πρόσθεση Χαρτογράφησης Χαρακτηριστικού  "
"Add New Attribute","Πρόσθεση Νέου Χαρακτηριστικού"
"Add to Google Base","Πρόσθεση στην Βάση της Google "
"Are you sure?","Είστε σίγουροι"
"Attribute","Χαρακτηριστικό"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Attribute Set and Item Type"," Σύνολο Χαρακτηριστικού και Τύπος Είδους"
"Attributes","Χαρακτηριστικά"
"Attributes Mapping","Χαρτογράφηση Χαρακτηριστικών "
"Attributes Set","Σύνολο Χαρακτηριστικών"
"AuthSub","AuthSub"
"Available Products","Διαθέσιμα Προϊόντα"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Το Βασικό Νόμισμα πρέπει να είναι έτοιμο να %s για %s στη διαμόρφωση συστήματος. Αλλιώς, οι τιμές των ειδών, δεν θα είναι σωστές στην Βάση της Google."
"Cannot update Google Base Item for Store '%s'","Αδύνατη η ανανέωση της Βάσης Είδους της Google για το Κατάστημα '%s'"
"Captcha confirmation error: %s","Σφάλμα επαλήθευσης Captcha: %s"
"Captcha has been confirmed.","Το Captcha έχει επιβεβαιωθεί."
"Catalog","Κατάλογος"
"Clicks","Πατήματα - Clicks"
"ClientLogin","Σύνδεση Πελάτη"
"Confirm","Επαλήθευση"
"Current Mapping will be reloaded. Continue?","Η τρέχουσα Χαρτογράφηση θα ανανεωθεί. Συνέχεια;"
"Custom attribute, no mapping","Προσαρμοσμένο χαρακτηριστικό, χωρίς χαρτογράφηση "
"Delete","Διαγραφή"
"Delete Mapping","Διαγραφή Χαρτογράφησης"
"Edit Item Type","Επεξεργασία Τύπου Προϊόντος"
"Edit Item Type ""%s""","Επεξεργασία Τύπου Προϊόντος ""%s"""
"Error: %s","Σφάλμα: %s"
"Expires","Λήγει"
"Google","Google"
"Google Base","Βάση Google"
"Google Base Attribute"," Βάση Χαρακτηριστικού Google "
"Google Base ID","ID Βάσης Google"
"Google Base Item Type","Τύπος Βάσης Ειδών Google "
"Google Base Item type","Τύπος Βάσης Ειδών Google "
"Google Base Items","Βάση Ειδών Google "
"Google base","Βάση google"
"Hide",""
"Hosted",""
"Hosted or Google",""
"Impr.",""
"Invalid Product Model for Google Base Item","Μη έγκυρο Μοντέλο Προϊόντος για τη Βάση Ειδών Google"
"Item Type was deleted","Ο Τύπος Είδους διαγράφηκε"
"Item Types","Τύποι Είδους"
"Item model is not specified to delete Google Base entry.","Το μοντέλο είδους δεν είναι καθορισμένο να διαγράψει την εγγραφή της Βάσης Google."
"Items","Είδη"
"Manage Attribute Mapping","Διαχείριση Χαρτογράφησης Χαρακτηριστικού"
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Items","Διαχείριση Ειδών"
"New Item Type","Νέος Τύπος Είδους"
"New ItemType","Νέος Τύπος Είδους"
"No","Όχι"
"No items were deleted from Google Base","Δεν διαγράφηκαν είδη από την Βάση Google "
"No items were published","Δεν δημοσιεύτηκαν είδη"
"No items were saved as inactive items","Δεν αποθηκεύτηκαν είδη, ως μη ενεργά είδη"
"No products were added to Google Base","Δεν προστέθηκαν προϊόντα στη Βάση Google "
"Object model is not specified to save Google Base entry.","Το μοντέλο αντικειμένου δεν είναι καθορισμένο να αποθηκεύσει την εγγραφή της Βάσης Google."
"Please, select Attribute Set and Google Item Type to load attributes","Παρακαλούμε, επιλέξτε Σύνολο Χαρακτηριστικού και Τύπου Είδους Google, για να φορτώσετε χαρακτηριστικά"
"Product Name","Όνομα Προϊόντος"
"Publish","Δημοσίευση "
"Published","Δημοσιευμένο -α "
"Remove","Αφαίρεση"
"Save Mapping","Αποθήκευση Χαρτογράφησης "
"Session expired during export. Please revise exported products and repeat the process if necessary.","Η Διάρκεια λήγει κατά την εξαγωγή. Παρακαλούμε, επανεξετάστε τα εξαγόμενα προϊόντα και επαναλάβετε τη διαδικασία, αν είναι απαραίτητο. "
"Synchronize","Συγχρονισμός "
"Target Country","Στοχευόμενη Χώρα"
"The item type has been saved.","Ο τύπος είδους έχει αποθηκευτεί."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Αυτή η ενέργεια, θα ενημερώσει τα στατιστικά ειδών και θα αφαιρέσει τα είδη που δεν είναι διαθέσιμα στη Βάση Google. Συνέχεια; "
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Το σύνολο των %d ειδών έχουν διαγραφεί, το σύνολο των %d έχουν αποθηκευτεί."
"Total of %d items(s) have been published.","Το σύνολο των %d ειδών έχουν δημοσιευτεί."
"Total of %d items(s) have been removed from Google Base.","Το σύνολο των %d ειδών έχουν αφαιρεθεί από τη Βάση Google. "
"Total of %d items(s) have been saved as inactive items.","Το σύνολο των %d ειδών έχουν αποθηκευτεί ως μη ενεργά είδη."
"Total of %d product(s) have been added to Google Base.","Το σύνολο των %d προϊόντων έχουν προστεθεί στη Βάση Google."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Αδύνατον να συνδεθείτε με τη Βάση Google. Παρακαλούμε, ελέγξτε τις ρυθμίσεις Λογαριασμού στη διαμόρφωση."
"Unable to select a Store View.","Αδύνατη η επιλογή της Όψης Καταστήματος."
"View Available Products","Προβολή Διαθέσιμων Προϊόντων"
"View Item in Google Base","Προβολή Είδους στη Βάση Google. "
"Yes","Ναι"
