" Copy"," Αντιγραφή"
"Action","Ενέργεια"
"Add New Template","Προσθήκη Νέου Προτύπου(Template)"
"Add to Queue","Προσθήκη στη Ουρά"
"Allow Guest Subscription","Να επιτρέπεται η Εγγραφή στους Επισκέπτες"
"An error occurred while saving your subscription.","Προέκυψε σφάλμα κατά την εγγραφή σας."
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το Πρότυπο(Template);"
"Are you sure that you want to strip all tags?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε όλες τις ετικέτες;"
"Back","Πίσω"
"Cancel","Ακύρωση"
"Cancelled","Ακυρώθηκε"
"Cannot mark as received subscriber.","Δεν μπορεί να μαρκαριστεί ο συνδρομητής ότι έχει λάβει το Δελτίο Νέων."
"Confirmation Email Sender","Αποστολέας Email Επιβεβαίωσης"
"Confirmation Email Template","Πρότυπο(Template) Email Επιβεβαίωσης"
"Confirmation request has been sent.","Έχει σταλεί αίτημα επιβεβαίωσης."
"Convert to Plain Text","Μετατροπή σε Απλό Κείμενο"
"Create Newsletter Template","Δημιουργία Προτύπου(Template) Δελτίου Νέων"
"Customer","Πελάτης"
"Customer First Name","Όνομα Πελάτη"
"Customer Last Name","Επώνυμο Πελάτη"
"Customer My Account Newsletter Subscriptions","Εγγραφή Λογαριασμού του Πελάτη στο Δελτίο Νέων"
"Date Added","Ημ/νία που προστέθηκε"
"Date Updated","Ημ/νία που ενημερώθηκε"
"Delete","Διαγραφή"
"Delete Selected Problems","Διαγραφή Επιλεγμένων Προβλημάτων"
"Delete Template","Διαγραφή Προτύπου(Template)"
"Do you really want to cancel the queue?","Σίγουρα θέλετε να ακυρώσετε την ουρά;"
"Duplicate template code.","Αντέγραψε τον κώδικα του προτύπου(template)"
"Edit Newsletter","Επεξεργασία Δελτίου Νέων"
"Edit Newsletter Template","Επεξεργασία Προτύπου(Template) Δελτίου Νέων"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Template","Επεξεργασία Προτύπου(Template)"
"Email","Email"
"Enter your email address","Εισάγετε το email σας"
"Error Code","Κωδικός Σφάλματος"
"Error Text","Κείμενο Σφάλματος"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ακολουθήστε τον σύνδεσμο για διαγραφή <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Επισκέπτης"
"ID","ID"
"Invalid queue selected.","Επιλέχθηκε μη έγκυρη ουρά."
"Invalid subscription ID.","Μη έγκυρο αναγνωριστικό συνδρομής."
"Invalid subscription confirmation code.","Μη έγκυρος κωδικός επιβεβαίωσης συνδρομής."
"Message","Μήνυμα"
"Need to Confirm","Χρειάζεται επιβεβαίωση"
"New Newsletter Template","Νέο Πρότυπο(Template) Δελτίου Νέων"
"New Template","Νέο Πρότυπο(Template)"
"Newsletter","Δελτίο Νέων"
"Newsletter Message Preview","Προεπισκόπηση μηνύματος Δελτίου Νέων"
"Newsletter Problem Reports","Πρόβλημα Αναφορών Δελτίου Νέων"
"Newsletter Queue","Ουρά Δελτίου Νέων"
"Newsletter Section","Τμήμα Δελτίου Νέων"
"Newsletter Sign-up:","Εγγραφή στα Δελτία Νέων:"
"Newsletter Styles","Ύφος Δελτίου Νέων"
"Newsletter Subscribers","Εγγεγραμμένοι Δελτίου Νέων "
"Newsletter Subscription","Εγγραφή στο Δελτίο Νέων"
"Newsletter Subscription Form Before","Προηγούμενη Φόρμα Εγγραφής στο Δελτίο Νέων"
"Newsletter Subscriptions","Εγγραφές Δελτίου Νέων"
"Newsletter Templates","Πρότυπα(Templates) Δελτίου Νέων"
"Newsletter subscription confirmation","Επιβεβαίωση εγγραφής στο Δελτίο Νέων"
"Newsletter subscription success","Επιτυχής εγγραφή στο Δελτίο Νέων"
"Newsletter unsubscription success","Επιτυχής διαγραφή από το Δελτίο Νέων"
"No Templates Found","Δεν βρέθηκε κανένα Πρότυπο(Template)"
"No problems found.","Δεν βρέθηκαν προβλήματα."
"No subscribers selected.","Δεν επιλέχθηκαν εγγεγραμμένοι."
"Not Activated","Δεν Ενεργοποιήθηκε "
"Not Sent","Δεν έχει αποσταλεί"
"Pause","Παύση"
"Paused","Σταματημένο"
"Please enter a valid email address.","Παρακαλούμε καταχωρήστε έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"Please enter new template name","Παρακαλούμε εισάγετε νέο όνομα Προτύπου(Template)"
"Please refer to exeption.log","Παρακαλούμε ανατρέξτε στο exeption.log"
"Please select subscriber(s)","Παρακαλούμε επιλέξτε συνδρομητή(ες)"
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου(Template)"
"Processed","Επεξεργάστηκε"
"Queue Date Start","Ημ/νία Έναρξης Ουράς"
"Queue Finish","Τέλος Ουράς"
"Queue Information","Στοιχεία Ουράς"
"Queue Newsletter...","Ουρά Δελτίου Νέων..."
"Queue Start","Έναρξη Ουράς"
"Queue Subject","Θέμα Ουράς"
"Recipients","Αποδέκτες"
"Reset","Reset"
"Resume","Συνέχεια"
"Return HTML Version","Επιστρέψτε στην έκδοση HTML"
"Save As","Αποθήκευση Ως"
"Save Newsletter","Αποθήκευση Δελτίου Νέων"
"Save Template","Αποθήκευση Προτύπου(Template)"
"Save and Resume","Αποθήκευσε και Επανέλαβε"
"Selected problem subscribers have been unsubscribed.","Επιλεγμένες εγγραφές προβλημάτων έχουν διαγραφεί."
"Selected problems have been deleted.","Τα επιλεγμένα προβλήματα έχουν διαγραφεί."
"Sender","Αποστολέας"
"Sender Email","Email Αποστολέα"
"Sender Name","Όνομα Αποστολέα"
"Sending","Αποστέλεται"
"Sent","Απεστάλη"
"Sign Up for Our Newsletter:","Γράψτε το email σας και εγγραφείτε στο Δελτίο Νέων μας:"
"Sign up for our newsletter","Γράψτε το email σας και εγγραφείτε στο δελτίο νέων μας"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Μας συγχωρείτε, αλλά ο διαχειριστής απέρριψε την συνδρομή για επισκέπτες. Παρακαλούμε  <a href=""%s"">Εγγραφή</a>."
"Start","Έναρξη"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Όψη Καταστήματος"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subscribe","Εγγραφή"
