"%s Item(s)","%s Είδος(η)"
"%s-%s of %s","%s-%s από %s"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2014 fotistika4u.gr  All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2014 fotistika4u.gr  All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click ή σύρετε για να αλλάξετε την τιμή"
"(ver. %s)","(έκδ. %s)"
"- Click on any of the time parts to increase it","- Κάντε κλικ σε οποιοδήποτε από τα μέρη της ώρας για αύξηση της "
"- Hold mouse button on any of the above buttons for faster selection.","- Κρατήστε πατημένο το κουμπί του ποντικιού σε οποιοδήποτε από τα παραπάνω κουμπιά για πιο γρήγορη επιλογή."
"- Use the %s buttons to select month","- Χρησιμοποιήστε τα %s πλήκτρα να επιλέξετε το μήνα"
"- Use the %s, %s buttons to select year","- Χρησιμοποιήστε τα %s, %s πλήκτρα να επιλέξετε το έτος"
"- or Shift-click to decrease it","- ή Shift-κλικ για αύξησή του"
"- or click and drag for faster selection.","- ή κλικ και σύρετε για γρήγορη επιλογή."
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"1 column","1 στήλη"
"2 columns with left bar","2 στήλες με αριστερή μπάρα"
"2 columns with right bar","2 στήλες με δεξιά μπάρα"
"3 columns","3 στήλες"
"About the calendar","Σχετικά με το ημερολόγιο"
"Account","Λογαριασμός"
"All Empty Layout Pages","Όλες οι Κενής Διάταξης Σελίδες"
"All One-Column Layout Pages","Όλες οι Μονόστηλης Διάταξης Σελίδες"
"All Pages","Όλες οι Σελίδες"
"All Pages (Print Version)","Όλες οι Σελίδες (Έκδοση Εκτύπωσης)"
"All Three-Column Layout Pages","Όλες οι Τρίστηλης Διάταξης Σελίδες"
"All Two-Column Layout Pages (Left Column)","Όλες οι Δίστηλης Διάταξης Σελίδες (Αριστερή Στήλη)"
"All Two-Column Layout Pages (Right Column)","Όλες οι Δίστηλης Διάταξης Σελίδες (Δεξιά Στήλη)"
"Allow","Επιτρεπτή"
"Breadcrumbs","Δυναμική Διαδρομή"
"Click <a href=""%s"">here</a> if nothing has happened","Πατήστε Κλικ  <a href=""%s"">εδώ</a> αν τίποτα δεν έχει συμβεί"
"Close","Κλείσιμο"
"Close Window","Κλείσιμο Παράθυρου"
"DHTML Date/Time Selector","DHTML Επιλογέας Ημ/νία / Ώρα "
"Date selection:","Επιλογή Ημ/νίας:"
"Default Description","Προεπιλεγμένη Περιγραφή"
"Default welcome msg!","Προεπιλεγμένο μνμ καλωσορίσματος!"
"Display %s first","Εμφάνιση %s πρώτα"
"Distributed under GNU LGPL. See %s for details.","Διανέμεται σύμφωνα με GNU LGPL. Δείτε %s για λεπτομέρειες."
"Drag to move","Σύρετε για μετακίνηση"
"Empty","Κενό"
"For latest version visit: %s","Για προηγούμενη έκδοση επισκεφθείτε: %s"
"Free Shipping on orders over 50$","Δωρεάν Μεταφορικά για παραγγελίες άνω των 150€"
"Go Today","Πηγαίνετε Σήμερα"
"Help Us to Keep Magento Healthy","Βοηθήστε μας να κρατήσουμε το Magento υγειές"
"Interface Language","Γλώσσα Διασύνδεσης"
"Items %s to %s of %s total","Είδη %s εώς %s από %s σύνολο"
"JavaScript seems to be disabled in your browser.","Το JavaScript φαίνεται να είναι απενεργοποιημένο στον περιηγητή σας."
"Left Column","Αριστερή Στήλη"
"Left Column First (shows above main column on smaller screens)","Αριστερή Στήλη Πρώτα (δείχνει πάνω από την κύρια στήλη για μικρότερες οθόνες)"
"Main Content Area","Κύρια Περιοχή Περιχομένου"
"Menu","Μενού"
"Navigation Bar","Μπάρα Πλοήγησης"
"Next","Επόμενο"
"Next month (hold for menu)","Επόμενος μήνας (κρατήστε για μενού)"
"Next year (hold for menu)","Επόμενο έτος (κρατήστε για λίστα) "
"Page Bottom","Κάτω μέρος Σελίδας"
"Page Footer","Υποσέλιδο"
"Page Header","Κεφαλίδα "
"Page Top","Πάνω μέρος Σελίδας"
"Page:","Σελίδα:"
"Prev. month (hold for menu)","Προηγ. Μήνας (κρατήστε για λίστα) "
"Prev. year (hold for menu)","Προηγ. έτος (κρατήστε για λίστα) "
"Previous","Προηγούμενο"
"Redirecting...","Ανακατευθύνεται..."
"Report All Bugs","Αναφέρεται Όλα Τα Bugs"
"Results per page","Αποτελέσματα ανά σελίδα"
"Right Column","Δεξιά Στήλη"
"Search","Αναζήτηση"
"Select Store","Επιλογή Καταστήματος"
"Select Store:","Επιλογή Καταστήματος:"
"Select date","Επιλογή Ημ/νίας"
"Show","Προβολή"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Αυτός ο ιστότοπος απαιτεί cookies για να παρέχει όλες τις λειτουργίες του. Για περισσότερες πληροφορίες για το τι δεδομένα περιέχονται στα cookies, παρακαλούμε δείτε στη σελίδα <a href=""%s"">Προστασία Προσωπικών Δεδομένων</a>. Για να αποδεχθείτε τα cookies από τον ιστότοπο αυτό, παρακαλούμε πατήστε παρακάτω στο κουμπί ""Επιτρέπεται""."
"Time selection:","Επιλογή Ώρας:"
"Time:","Ώρα:"
"View All ","Προβολή Όλων: "
"Welcome, %s!","Καλως Ήρθατε, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Θα πρέπει να έχετε ενεργοποιημένη τη Javascript στον περιηγητή σας για να χρησιμοποιηθεί η λειτουργικότητα αυτής της ιστοσελίδας."
"Your Language","Η Γλώσσα σας"
"Your Language:","Η Γλώσσα σας:"
"per page","ανα σελίδα"
