"%s %s cycle.","%s %s κύκλος."
"* Required Fields","* Υποχρεωτικά Πεδία"
"--Please Select--","--Παρακαλούμε Επιλέξτε--"
"3D Secure Card Validation","3D Ασφαλής Έλεγχος Κάρτας"
"3D Secure Credit Card Validation","3D Ασφαλής Έλεγχος Πιστωτικής Κάρτας"
"<label>Make Check payable to:</label> %s","<label>Το Τσεκ να πληρωθεί στο(η):</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Μία τιμή είναι υποχρεωτική για λειτουργία ζωντανής προβολής. Ανατρέξτε στη συμφωνία σας με την CardinalCommerce."
"Allow Initial Fee Failure","Επιτρέπεται η Αποτυχία Αρχικής Χρέωσης"
"An internal reference ID is required to save the payment profile.","Ένα εσωτερικό ID αναφοράς είναι υποχρεωτικό για να αποθηκευτεί το προφίλ πληρωμής."
"Authorize action is not available.","Η έγκριση της ενέργειας δεν είναι διαθέσιμη."
"Auto Bill on Next Cycle","Αυτόματη Χρέωση στον Επόμενο Κύκλο"
"Automatically Invoice All Items","Αυτόματη Τιμολόγηση Όλων των Ειδών"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Αυτόματη χρέωση του οφειλόμενου υπόλοιπου ποσού στον επόμενο κύκλο τιμολόγησης (αν υπήρχαν αποτυχημένες πληρωμές)."
"Bank Transfer Payment","Πληρωμή με Τραπεζική Κατάθεση"
"Billing Agreement status is not set.","Η κατάσταση Συμφωνίας Χρέωσης δεν είναι ρυθμισμένη. "
"Billing Amount","Ποσό Χρέωσης"
"Billing Frequency","Συχνότητα Χρέωσης"
"Billing Period","Περίοδος Χρέωσης"
"Billing Period Unit","Σύνολο Περιόδου Χρέωσης"
"Billing period unit is not defined or wrong.","Το σύνολο περιόδου χρέωσης δεν έχει καθοριστεί ή είναι λάθος."
"Cannot retrieve the payment info model object.","Αδύνατη η ανάκτηση μοντέλου πληροφορίας πληρωμής του αντικειμένου."
"Cannot retrieve the payment information object instance.","Αδύνατη η ανάκτηση πληροφοριών πληρωμής του αντικειμένου παραδείγματος."
"Cannot retrieve the payment method code.","Αδύνατη η ανάκτηση του κωδικού μεθόδου πληρωμής."
"Cannot retrieve the payment method model object.","Αδύνατη η ανάκτηση του μοντέλου μεθόδου πληρωμής του αντικειμένου."
"Capture action is not available.","Η ενέργεια της σύλληψης δεν είναι διαθέσιμη."
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Cash On Delivery Payment","Πληρωμή με Αντικαταβολή"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Επιταγή / Έμβασμα"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας: xxxx-%s"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit card number mismatch with credit card type.","Ο αριθμός Πιστωτικής Κάρτας δεν ταιριάζει με τον τύπο της."
"Credit card type is not allowed for this payment method.","Ο τύπος Πιστωτικής Κάρτας δεν εγκρίνεται γι'αυτή τη μέθοδο πληρωμής."
"Currency","Νόμισμα"
"Currency code is undefined.","Ο κωδικός του νομίσματος είναι ακαθόριστος."
"Customer ID is not set.","Δεν έχει ρυθμιστεί το ID Πελάτη."
"Day","Ημέρα"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Enabled","Ενεργοποιημένο"
"Expiration Date","Ημ/μηνία Λήξης"
"Expiration Date: %s/%s","Ημ/νία Λήξεως: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Πλήρες όνομα του ατόμου που λαμβάνει το προϊόν ή την υπηρεσία που καταβάλλονται από την επαναλαμβανόμενη πληρωμή."
"Incorrect credit card expiration date.","Μη έγκυρη ημ/νία λήξεως πιστωτικής κάρτας."
"Initial Fee","Αρχική Χρέωση"
"Initial non-recurring payment amount due immediately upon profile creation.","Το αρχικό μη-επαναλαμβανόμενο ποσό πληρωμής οφείλεται αμέσως μετά τη δημιουργία προφίλ."
"Instructions","Οδηγίες"
"Internal Reference ID","ID Εσωτερικής Αναφοράς"
"Invalid Credit Card Number","Μη Έγκυρος Αριθμός Πιστωτικής Κάρτας"
"Issue Number","Αριθμός Έκδοσης (κάρτας)"
"Make Check Payable to","Δημιουργία Επιταγής πληρωτέας στο(η)"
"Make Check payable to:","Το Τσεκ-η Επιταγή να πληρωθεί στο(η):"
"Make Check payable to: %s","Το Τσεκ να πληρωθεί στο(η): %s"
"Maximum Billing Cycles","Μέγιστος αριθμός Κύκλων Χρέωσης"
"Maximum Order Total","Μέγιστο Γενικό Σύνολο Παραγγελίας"
"Maximum Payment Failures","Μέγιστος αριθμός Αποτυχιών Πληρωμής"
"Maximum Trial Billing Cycles","Μέγιστος αριθμός Δοκιμαστικών Κύκλων Χρέωσης"
"Merchant ID","Εμπορικό ID"
"Minimum Order Total","Ελάχιστο Γενικό Σύνολο Παραγγελίας"
"Month","Μήνας"
"N/A","Μη Διαθέσιμο"
"Name on Card","Όνομα στη κάρτα"
"Name on the Card","Όνομα πάνω στη Κάρτα"
"Name on the Card: %s","Όνομα πάνω στη Κάρτα: %s"
"New Order Status","Κατάσταση Νέας Παραγγελίας"
"Number of billing periods that make up one billing cycle.","Αριθμός περιόδων χρέωσης που φτιάχνουν έναν κύκλο χρέωσης."
"Order action is not available.","Η λειτουργία παραγγελίας δεν είναι διαθέσιμη."
"Overrides API URL that may be specified by a payment method.","Παρακάμψεις URL API που μπορεί να καθοριστούν με τη μέθοδο πληρωμής."
"Password","Κωδικός"
"Payment ID: %s","ID Πληρωμής: %s"
"Payment Method","Μέθοδος Πληρωμής"
"Payment Methods","Μέθοδοι Πληρωμής"
"Payment Methods Section","Τμήμα Μεθόδων Πληρωμής"
"Payment Reference ID","ID Αναφοράς Πληρωμής"
"Payment Services","Υπηρεσίες Πληρωμής"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Payment method code is not set.","Ο κωδικός μεθόδου πληρωμής δεν είναι ρυθμισμένος."
"Payment method code is undefined.","Ο κωδικός μεθόδου πληρωμής είναι απροσδιόριστος."
"Payment profile is invalid:\n%s","Το προφίλ πληρωμής είναι άκυρο:\n%s"
"Period frequency is wrong.","Η συχνότητα πληρωμής είναι λάθος."
"Please enter a valid credit card verification number.","Παρακαλούμε εισάγετε έγκυρο αριθμό επαλήθευσης πιστωτικής κάρτας."
"Processor ID","ID Επεξεργαστή"
"Purchase Order","Εντολή Αγοράς"
"Purchase Order Number","Αριθμός Εντολής Αγοράς"
"Purchase Order Number:","Αριθμός Εντολής Αγοράς:"
"Purchase Order Number: %s","Αριθμός Εντολής Αγοράς: %s"
"Recurring Profile Start Date","Ημ/νία Έναρξης Επαναλαμβανόμενου Προφίλ"
"Recurring profile start date has invalid format.","Η ημ/νία έναρξης επαναλαμβανόμενου προφίλ έχει άκυρη μορφοποίηση."
"Reference ID is not set.","Το ID Αναφοράς δεν είναι ρυθμισμένο. "
"Refund action is not available.","Η λειτουργία επιστροφής χρημάτων δεν είναι διαθέσιμη."
"Repeats %s time(s).","Επαναλαμβάνει %s φορές(α)."
"Repeats until suspended or canceled."," Επαναλαμβάνει μέχρι να ανασταλεί ή ακυρωθεί."
"Request Card Security Code","Αίτηση Κωδικού Κάρτας Ασφαλείας"
"Saved CC","Saved CC"
"Schedule Description","Περιγραφή Προγράμματος"
"Schedule description must be not empty.","Η περιγραφή προγράμματος δεν πρέπει να είναι κενή."
"Selected payment type is not allowed for billing country.","Ο επιλεγμένος τύπος πληρωμής δεν επιτρέπεται για τη χώρα χρέωσης."
"Send Check to","Αποστολή του Τσεκ στο(η)"
"Send Check to:","Αποστολή του Τσεκ στο(η):"
"Severe 3D Secure Card Validation","Αυστηρή 3D Ασφάλεια Ελέγχου Κάρτας"
"Severe validation removes chargeback liability on merchant.","Η αυστηρή έγκριση αφαιρεί από τον έμπορο την επιβάρυνση τελών λόγω ακύρωσης χρέωσης"
"Shipping Amount","Ποσό Αποστολής"
"Short description of the recurring payment. By default equals to the product name.","Σύντομη περιγραφή της επαναλαμβανόμενης πληρωμής. Από προεπιλογή ισούται με το όνομα του προϊόντος."
"Sort Order","Κανόνας Ταξινόμησης"
"Start Date","Ημερομηνία Έναρξης"
"Start date has invalid format.","Η ημ/νία έναρξης έχει άκυρη μορφοποίηση."
"Start date is undefined.","Η ημ/νία έναρξης είναι απροσδιόριστη."
