"-OR-","-Ή-"
"2-pixel perimeter around the header space.","2-pixel περίμετρος γύρω από το περιθώριο της κεφαλίδας."
"300 x 50","300 x 50"
"3D Secure","3D Ασφαλής "
"3D Secure Card Validation","3D Ασφαλής Έλεγχος Κάρτας"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Ο 3D Ασφαλής έλεγχος είναι υποχρεωτικός για τις κάρτες Maestro. Υποστηρίζοντας τις κάρτες American Express απαιτείται πρόσθετη συμφωνία. Μάθετε σχετικά στο <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate<"
"468 x 60","468 x 60"
"728 x 90","728 x 90"
"800 x 66","800 x 66"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Έναρξη αποδοχής πληρωμών μέσω PayPal!</a>"
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Bill Me Later&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Bill Me Later&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","
<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Γιατί να Προβάλετε τη Χρηματοδότηση;</a><br/>
<strong>Δίνετε ώθηση στις πωλήσεις σας, όταν προβάλετε χρηματοδότηση.</strong><br/>Το PayPal, βοηθά τους περιηγητές να κάνουν αγοραστές με χρηματοδότηση,
από την υπηρεσία Bill Me Later&#174: Οι πελάτες σας έχουν περισσότερο χρόνο να πληρώσουν, ενώ εσείς προ-πληρώνεστε - χωρίς επιπλέον κόστος για εσάς.
Χρησιμοποιήστε ελεύθερα, τα διαφημιστικά banner του PayPal, που σας επιτρέπουν να προβάλλετε τη χρηματοδότηση Bill Me Later&#174; ως επιλογή πληρωμής, όταν οι πελάτες σας ολοκληρώνουν τις αγορές τους μέσω PayPal.
Το Πρόγραμμα Προώθησης του PayPal έχει αποδειχθεί ότι δημιουργεί πρόσθετες αγορές, καθώς και αύξηση του μέσου όρου αγορών των καταναλωτών, κατά 15%
 ή και περισσότερο. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Δείτε Λεπτομέρειες</a>.
"
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Bill Me Later&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Bill Me Later&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","
<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Γιατί να Προβάλετε τη Χρηματοδότηση;</a><br/> <strong>Δίνετε ώθηση στις πωλήσεις σας, όταν προβάλετε χρηματοδότηση.</strong><br/>Το PayPal, βοηθά τους περιηγητές να κάνουν αγοραστές με χρηματοδότηση
από την υπηρεσία Bill Me Later&#174: Οι πελάτες σας έχουν περισσότερο χρόνο να πληρώσουν, ενώ εσείς προ-πληρώνεστε - χωρίς επιπλέον κόστος για εσάς.
Χρησιμοποιήστε ελεύθερα, τα διαφημιστικά banner του PayPal, που σας επιτρέπουν να προβάλλετε τη χρηματοδότηση Bill Me Later&#174; ως επιλογή πληρωμής, όταν οι πελάτες σας ολοκληρώνουν τις αγορές τους μέσω PayPal.
Το Πρόγραμμα Προώθησης του PayPal έχει αποδειχθεί ότι δημιουργεί πρόσθετες αγορές, καθώς και αύξηση του μέσου όρου αγορών των καταναλωτών, κατά 15%
 ή και περισσότερο.<a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Δείτε Λεπτομέρειες</a>.
"
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Bill Me Later&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Bill Me Later&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","
<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Γιατί να Προβάλετε τη Χρηματοδότηση;</a><br/>
<strong>Δίνετε ώθηση στις πωλήσεις σας, όταν προβάλετε χρηματοδότηση.</strong><br/>Το PayPal, βοηθά τους περιηγητές να κάνουν αγοραστές με χρηματοδότηση
από την υπηρεσία Bill Me Later&#174: Οι πελάτες σας έχουν περισσότερο χρόνο να πληρώσουν, ενώ εσείς προ-πληρώνεστε - χωρίς επιπλέον κόστος για εσάς.
Χρησιμοποιήστε ελεύθερα, τα διαφημιστικά banner του PayPal, που σας επιτρέπουν να προβάλλετε τη χρηματοδότηση Bill Me Later&#174; ως επιλογή πληρωμής, όταν οι πελάτες σας ολοκληρώνουν τις αγορές τους μέσω PayPal.
Το Πρόγραμμα Προώθησης του PayPal έχει αποδειχθεί ότι δημιουργεί πρόσθετες αγορές, καθώς και αύξηση του μέσου όρου αγορών των καταναλωτών, κατά 15%
ή και περισσότερο. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Δείτε Λεπτομέρειες</a>.
"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"234 x 400","234 x 400"
"234 x 60","234 x 60"
"250 x 250","250 x 250"
"A case that has been resolved and close requires a reimbursement.","Μια υπόθεση που έχει επιλυθεί και έχει κλείσει, απαιτεί αποζημίωση."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Μία ανάκληση συνέβη σε αυτή τη συναλλαγή επειδή ο πελάτης αμφισβήτησε, υποπτευόμενος μη εξουσιοδοτημένη ενέργεια."
"A reversal has occurred on this transaction because you have given the customer a refund.","Μία ανάκληση συνέβη σε αυτή τη συναλλαγή επειδή έχετε δώσει στον πελάτη μία επιστροφή χρημάτων."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Μία ανάκληση συνέβη σε αυτή τη συναλλαγή λόγω μιας αντιστροφής χρέωσης από τον πελάτη σας."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Μία ανάκληση συνέβη σε αυτή τη συναλλαγή λόγω παραπόνου από τον πελάτη σας σχετικά με τη συναλλαγή."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Μία ανάκληση συνέβη σε αυτή τη συναλλαγή λόγω της προξένησης του πελάτη σας, μιας εγγύησης επιστροφής χρημάτων."
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Είστε σίγουροι ότι θέλετε να αφήσετε τη σελίδα; Θα χρειαστεί να προχωρήσετε πάλι, μέσω των βημάτων ολοκλήρωσης αγορών."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Μία τιμή είναι υποχρεωτική για λειτουργία ζωντανής προβολής. Ανατρέξτε στη συμφωνία σας με την CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","ΑΓΣ  Προκαταβολή (Κράτηση για Αμφισβήτηση ή Άλλες Έρευνες) - Αυτοματοποιημένο Γραφείο Συμψηφισμού"
