"# of Uses","# Χρήσεων"
"%s tag(s) have been accepted for moderation.","%s ετικέτα(ες) έχουν γίνει δεκτές για έλεγχο από το διαχειριστή."
"<strong>Tag Name:</strong> %s","<strong>Όνομα Ετικέτας:</strong> %s"
"Action","Ενέργεια"
"Add","Προσθήκη"
"Add New Tag","Προσθήκη Νέας Ετικέτας"
"Add Tags","Προσθήκη Ετικετών"
"Add Your Tags:","Προσθήκη Των Ετικετών Σας"
"Add tag(s) to product","Προσθέστε ετικέτα(ες) στο προϊόν"
"Add to Cart","Αγορά"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμητών"
"All Tags","Όλες Οι Ετικέτες"
"Approved","Έχει Εγκριθεί"
"Are you sure you want to delete this tag?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτή την Ετικέτα"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Are you sure?","Είστε σίγουροι"
"Back","Πίσω"
"Back to Tags List","Πίσω Στην Λίστα Ετικετών"
"Base Popularity","Βασική Δημοτικότητα"
"Block Information","Block Πληροφοριών"
"CSV","CSV"
"Catalog Product View","Προβολή Καταλόγου Προϊόντων"
"Change status","Αλλαγή Κατάστασης"
"Click on a tag to view your corresponding products.","Κάντε κλικ σε μία ετικέτα για να δείτε τα αντίστοιχα προϊόντα σας"
"Country","Χώρα"
"Customer My Account My Tags List","Λίστα Ετικετών στο Λογαριασμό του Πελάτη"
"Customer My Account Tag View","Προβολή Ετικέτας στο Λογαριασμό του Πελάτη"
"Customer Since","Πελάτης Απο"
"Customers","Πελάτες"
"Customers Submitted this Tag","Πελάτες που υπέβαλαν αυτή την Ετικέτα"
"Customers Tagged '%s'","Πελάτες Με Ετικέτες '%s'"
"Delete","Διαγραφή"
"Delete Tag","Διαγραφή Ετικέτας"
"Disabled","Απενεργοποιημένο"
"Edit Tag '%s'","Επεξεργασία Ετικέτας '%s'"
"Email","Email"
"First Name","Όνομα"
"General Information","Γενικές Πληροφορίες"
"Grid","Πλέγμα"
"ID","ID"
"Info","Πληροφορίες"
"Last Name","Επίθετο"
"List","Λίστα"
"Manage Tags","Διαχείριση Ετικετών"
"My Recent Tags","Οι Προσφατες Ετικετες μου"
"My Tags","Οι Ετικέτες Μου"
"Name","Όνομα"
"New Tag","Νέα Ετικέτα"
"No matches found.","Δεν βρέθηκαν αποτελέσματα"
"Other people marked this product with these tags:","Άλλοι πελάτες σημείωσαν το προϊον με αυτές τις ετικέτες:"
"Pending","Σε Αναμονή"
"Pending Tags","Ετικέτες Σε Αναμονή"
"Popular","Δημοφιλείς"
"Popular Tags","Δημοφιλεις Ετικετες"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product SKU","Κωδικός Προϊόντος (SKU)"
"Product Tag API","API Ετικετών Προϊόντων"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Tagged by Administrators","Προϊόντα με Ετικέτες Διαχειριστή "
"Products Tagged by Customers","Προϊόντα με Ετικέτες Πελάτη"
"Products Tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Products tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Rebuild Tag aggregation data","Ανακατασκευή δεδομένων συσσωμάτωσης Ετικετών"
"Remove","Αφαίρεση"
"Remove product tag","Αφαίρεση ετικέτας προϊόντος"
"Retrieve list of tags by product","Ανάκτηση λίστας ετικετών ανά προϊόν"
"Retrieve product tag info","Ανάκτηση πληροφοριών ετικέτας προϊόντος"
"SKU","SKU"
"Save Tag","Αποθήκευση Ετικέτας"
"Save and Continue Edit","Αποθήκευση και Συνέχιση Επεξεργασίας"
"Status","Κατάσταση"
"Store View","Όψη Καταστήματος"
"Tag","Ετικέτα"
"Tag ""%s"" has already been added to the product.","Η Ετικέτα ""%s"" έχει ήδη προστεθεί στο προϊόν."
"Tag ""%s"" has been added to the product.","Η Ετικέτα ""%s"" έχει προστεθεί στο προϊόν."
"Tag ""%s"" has been rejected by administrator.","Η Ετικέτα ""%s"" έχει απορριφθεί από τον διαχειριστή. "
"Tag Aggregation Data","Δεδομένα Συσσωμάτωσης Ετικετών"
"Tag Name","Όνομα Ετικέτας"
"Tagged Products List","Λίστα Προϊόντων με Ετικέτα"
"Tags","Ετικέτες"
"Tags List (All Available)","Λίστα Ετικετών (Κάθε Διαθέσιμη)"
"Tags List Before","Προηγούμενη Λίστα Ετικετών"
"Tags:","Ετικέτες:"
"Telephone","Τηλέφωνο"
"The tag has been deleted.","Η ετικέτα έχει διαγραφεί."
"There are no tags available.","Δεν υπάρχουν διαθέσιμες ετικέτες."
"Unable to find any products tagged with '%s' in the current store","Αδύνατον να βρεθούν προϊόντα με την ετικέτα '%s' στο τρέχων κατάστημα"
"Unable to remove tag. Please, try again later.","Αδύνατο να αφαιρεθεί η ετικέτα. Παρακαλούμε δοκιμάστε αργότερα"
"Unable to save tag(s).","Αδύνατον να αποθηκευτεί η ετικέτα(ες)."
"Update","Ενημέρωση"
"Update product tag","Ενημερώστε την ετικέτα του προϊόντος"
"Use spaces to separate tags. Use single quotes (') for phrases.","Χρησιμοποιήστε κενά για να διαχωρίσετε ετικέτες, Χρησιμοποιήστε μονά εισαγωγικά (') για φράσεις."
"View All Tags","Προβολή Όλων Των Ετικετών"
