" was not delivered nor scanned","δεν παραδόθηκε ούτε ανιχνεύθηκε"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.",""
"1 Day Freight","Παράδοση 1 ημέρας"
"2 Day",""
"2 Day AM",""
"2 Day Freight","Παράδοση 2 ημερών"
"2Day","2Μέρες"
"2nd Day Air",""
"2nd Day Air AM",""
"2nd Day Air AM Letter",""
"2nd Day Air Letter",""
"3 Day Freight","Παράδοση 3 ημερών"
"3 Day Select",""
"Access ID","ID Πρόσβασης"
"Access License Number",""
"Account ID","ID Λογαριασμού"
"Account Number","Αριθμός Λογαριασμού"
"Additional Protection Configuration Value",""
"Additional Protection Enabled",""
"Additional Protection Min Subtotal",""
"Additional Protection Value",""
"Additional Protection Value Rounding Method",""
"Adult",""
"Adult Signature Required",""
"Allowed Methods",""
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.",""
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.",""
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy",""
"Break bulk express",""
"Business Service Center","Κέντρο υπηρεσιών επιχειρήσεων"
"Calculate Handling Fee","Υπολογισμός αμοιβής χειρισμού"
"Canada Standard",""
"Cannot identify measure unit for %s",""
"Cannot identify weight unit for %s",""
"Cannot retrieve shipping rates","Αδύνατη η ανάκτηση τιμών αποστολής"
"Centimeters",""
"Commercial",""
"Configuration","Ρυθμίσεις"
"Container","Εμπορευματοκιβώτιο (Container)"
"Content Type",""
"Customer Packaging",""
"Customer Supplied Package",""
"Customer services",""
"DHL","DHL"
"DHL (Deprecated)",""
"DHL service is not available at %s date",""
"Debug","Αποσφαλμάτωση"
"Default Package Height",""
"Default Package Length",""
"Default Package Width",""
"Delivered","Παραδοθέν"
"Delivery Confirmation",""
"Depth",""
"Destination Type",""
"Destination facility code is empty",""
"Development",""
"Direct",""
"Displayed Error Message","Εμφανιζόμενο μήνυμα λάθους"
"Divide Order Weight",""
"Documents",""
"Domestic Shipment Days",""
"Domestic economy select",""
"Domestic express",""
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Easy shop",""
"Economy select",""
"Empty response","Empty response"
