"%s","%s"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"Actions","Ενέργειες"
"Add Layout Update","Προσθήκη Ενημέρωσης Διάταξης-Layout"
"Add New Widget Instance","Πρόσθεση Παράδειγμα Νέου Γραφιστικού Στοχείου"
"All","Όλα"
"All Pages","Όλες οι Σελίδες"
"All Product Types","Όλοι οι Τύποι Προϊόντων"
"An error occurred during saving a widget: %s","Ένα σφάλμα προέκυψε ενώ αποθηκεύατε το γραφιστικό στοιχείο: %s"
"Anchor Categories","Αγκίστρωση Κατηγοριών"
"Apply","Εφαρμογή"
"Assign to Store Views","Εκχώρηση στις Όψεις Καταστήματος"
"Big Image","Μεγάλη Εικόνα"
"Block Reference","Αποκλεισμός Αναφοράς"
"CMS","CMS"
"Categories","Κατηγορίες"
"Choose...","Επιλογή..."
"Close","Κλείσιμο"
"Continue","Συνέχεια"
"Default Template","Προεπιλεγμένο Πρότυπο(Template)"
"Delete","Διαγραφή"
"Design Package/Theme","Σχεδιασμός Πακέτου / Θέματος"
"Export to:","Εξαγωγή σε:"
"Frontend Properties","Ιδιότητες Frontend"
"Generic Pages","Γενικές Σελίδες"
"Images","Εικόνες"
"Insert Widget","Εισαγωγή Γραφιστικού Στοιχείου"
"Insert Widget...","Εισαγωγή Γραφιστικού Στοιχείου..."
"Layout Updates","Ανανεώσεις Διάταξης-Layout"
"Manage Widget Instances","Παραδείγματα Γραφιστικών Στοιχείων"
"New Instance","Νέο Παράδειγμα"
"New Widget Instance","Νέο Παράδειγμα Γραφιστικού Στοχείου"
"Next page","Επόμενη Σελίδα"
"Non-Anchor Categories","Μη-Αγκιστρωμένες Κατηγορίες"
"Not Selected","Μη Επιλεγμένα"
"Open Chooser","Ανοιχτός Επιλογέας"
"Page","Σελίδα"
"Please Select Block Reference First","Παρακαλούμε Επιλέξτε Πρώτα Αποκλεισμό Αναφοράς"
"Previous page","Προηγούμενη Σελίδα"
"Products","Προϊόντα"
"Remove Layout Update","Αφαίρεση Ανανέωση Διάταξης-Layout"
"Save and Continue Edit","Αποθήκευση και Συνέχιση της Επεξεργασίας"
"Select All","Επιλογή Όλων"
"Select Visible","Επιλογή Ορατού"
"Settings","Ρυθμίσεις"
"Sort Order","Κανόνας Ταξινόμησης"
"Sort Order of widget instances in the same block reference","Ταξινόμηση των παραδειγμάτων γραφιστικών στοιχείων στον ίδιο αποκλεισμό αναφοράς"
"Specific %s","Ακριβής %s"
"Specified Page","Καθορισμένη Σελίδα"
"Template","Πρότυπο(Template)"
"The information in this tab has been changed.","Οι πληροφορίες σε αυτή τη καρτέλα έχουν αλλάξει."
"The widget instance has been deleted.","Το παράδειγμα γραφιστικού στοιχείου έχει διαγραφεί."
"The widget instance has been saved.","Το παράδειγμα γραφιστικού στοιχείου έχει αποθηκευτεί."
"This tab contains invalid data. Please solve the problem before saving.","Αυτή η καρτέλα περιέχει άκυρα δεδομένα. Παρακαλούμε επιλύστε το πρόβλημα πριν αποθηκεύσετε."
"Thumbnail","Μικρογραφία"
"Total %d records found","Συνολικά %d εγγραφές βρέθηκαν"
"Type","Τύπος"
"Unselect All","Αποεπιλογή Όλων"
"Unselect Visible","Αποεπιλογή Ορατών"
"View","Προβολή"
"Widget","Γραφιστικό Στοιχείο"
"Widget ""%s""","Γραφιστικό Στοιχείο ""%s"""
"Widget ID","ID Γραφιστικού Στοιχείου"
"Widget Insertion","Εισαγωγή Γραφιστικού Στοιχείου"
"Widget Instance","Παράδειγμα Γραφιστικού Στοιχείου"
"Widget Instance Title","Τίτλος Παραδείγματος Γραφιστικού Στοιχείου"
"Widget Options","Επιλογές Γραφιστικού Στοιχείου"
"Widget Type","Τύπος Γραφιστικού Στοιχείου"
"Widget Type is not specified","Ο Τύπος Γραφιστικού Στοιχείου δεν είναι καθορισμένος"
"Widget instance is not full complete to create.","Το παράδειγμα του γραφιστικού στοιχείου δεν είναι πλήρως έτοιμο να δημιουργηθεί."
"Widgets","Γραφιστικά Στοιχεία"
"Wrong widget instance specified.","Καθορίστηκε λάθος γραφιστικό στοιχείο."
"items selected","επιλεγμένα είδη"
"of %s pages","των %s σελίδων"
"per page","ανά σελίδα"
