" But cart has some errors.",""
" Note: Image size affects the performance of your app.",""
"""Description"" is more than %d characters long",""
"""Title"" is more than %d characters long",""
"""id"" attribute is required for a ""%s"" field.",""
"""line_count"" attribute is required for ""multiline"" element.",""
"""message"" attribute is required for ""%s"" validator rule.",""
"%1$s has been added to your wishlist.",""
"%1$s incl tax.","%1$s συμπ.φόρου."
"%@ is not correct",""
"%s API Key required.",""
"%s Application ID required.",""
"%s Secret Key required.",""
"%s attribute is required.",""
"%s fields is required",""
"%s has been added to your cart.",""
"%s id:",""
"%s was updated in your shopping cart.","%s ανανεώθηκε στο καλάθι αγορών σας."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)",""
"* - field is required",""
"*Subject to change",""
"1. Please select type of the action:",""
"10:40 AM",""
"2. Please select a page",""
"2. Type Category Name",""
"2. Type Product Name",""
"80px x 80px",""
"80x80 px",""
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.",""
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.",""
"A new password has been sent.",""
"About",""
"Access forbidden",""
"Account","Λογαριασμός"
"Account Information","Πληροφορίες Λογαριασμού"
"Account Settings",""
"Account confirmation is required. Please check your email for the confirmation link.",""
"Account information has been saved.",""
"Action","Ενέργεια"
"Action type does\'t recognized",""
"Action type does\'t recognized.",""
"Action type doesn\'t recognized.",""
"Activate","Ενεργοποίηση"
"Activate PayPal Checkout",""
"Activate PayPal MECL",""
"Activation Key",""
"Add","Προσθήκη"
"Add Action",""
"Add Address from Contacts",""
"Add App",""
"Add Custom",""
"Add New Address","Προσθήκη Νέα Διεύθυνσης"
"Add New Template","Εισαγωγή Νέου Προτύπου(Template)"
"Add Page",""
"Add To Wishlist",""
"Add a billing address",""
"Add a shipping address",""
"Add to Cart","Αγορά"
"Add to Wishlist","Πρόσθεση στα Επιθυμητά"
"Adding Product to Cart...",""
"Adding Product to WishList...",""
"Additional Address",""
"Additional Info",""
"Address","Διεύθυνση"
"Address 2",""
"Address Book","Κατάλογος Διευθύνσεων"
"Address Book Updated",""
"Address Info",""
"Address book is empty",""
"Address data not specified.",""
"Address does not belong to this customer.",""
"Address has been deleted.",""
"Address has been saved.",""
"Admin Application Settings",""
"Admin Mobile Application",""
"Admin application has not been enabled",""
"Administrative contact for this app and for app submission issues.",""
"Advanced Settings","Προχωρημένες Ρυθμίσεις"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.",""
"AirMail Message Queue",""
"AirMail Messages Queue",""
"AirMail Template Preview",""
"AirMail message",""
"AirMail templates",""
"All Allowed Countries","Όλες οι Επιτρεπτές χώρες"
"All Images",""
"All locations",""
"Amount","Ποσό"
"Amount in %@",""
"Amounts","Ποσά"
"An account with this email address already exists.",""
"An error occurred while adding item to wishlist.","Ένα σφάλμα προέκυψε ενώ προσθέτατε είδος στη λίστα επιθυμητών."
"An error occurred while deleting the address.","Ένα σφάλμα προέκυψε ενώ διαγράφατε τη διεύθυνση."
"An error occurred while loading categories.",""
"An error occurred while loading category filters.",""
"An error occurred while loading configuration.",""
"An error occurred while loading localization.",""
"An error occurred while loading login form.",""
"An error occurred while loading wishlist.",""
"An error occurred while processing your order. Please contact us or try again later.",""
"An error occurred while processing your request.",""
"An error occurred while removing item from wishlist.",""
"An error occurred while removing items from wishlist.",""
"Analytics",""
"Android",""
"Android doesn\'t support AirMail message type.",""
"App Background",""
"App Background (landscape mode)",""
"App Background (landscape mode).",""
"App Background (portrait mode)",""
"App Background (portrait mode).",""
"App Background <br />(landscape mode)",""
"App Background <br />(portrait mode)",""
"App Background image missing.",""
"App Code",""
"App Information",""
"App Name","Όνομα Εφαρμογής"
"App Stores",""
"App Submission History",""
"App Title",""
"App code",""
"App code required.",""
"App does not exist.",""
"App has been deleted.",""
"App has been saved.",""
"App has been submitted.",""
"App model not loaded.",""
"App with specified code does not exist.",""
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)",""
