"Actions","Ενέργειες"
"An error occurred while marking notification as read.","Παρουσιάστηκε σφάλμα κατά τη σήμανση της ειδοποίησης ως αναγνωσμένη"
"An error occurred while marking the messages as read.","Παρουσιάστηκε σφάλμα κατά τη σήμανση των μηνυμάτων ως αναγνωσμένα"
"An error occurred while removing messages.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή των μηνυμάτων"
"An error occurred while removing the message.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή του μηνύματος"
"Are you sure?","Είστε σίγουροι"
"Date Added","Ημερομηνία που έχει προστεθεί"
"Last Update","Τελευταία Ενημέρωση"
"Mark as Read","Σήμανση ως Αναγνωσμένου"
"Mark as read","Σήμανση ως αναγνωσμένου"
"Message","Μήνυμα"
"Messages Inbox","Εισερχόμενα Μηνύματα"
"Notifications","Ειδοποιήσεις"
"Please select messages.","Παρακαλούμε επιλέξτε μηνύματα."
"Read Details","Ανάγνωση Λεπτομερειών"
"Remove","Διαγραφή"
"Severity","Σοβαρότητα"
"Show List","Εμφάνιση Λίστας"
"Show Toolbar","Εμφάνιση Γραμμής Εργαλείων"
"The message has been marked as read.","Το μήνυμα έχει επισημανθεί ως αναγνωσμένο."
"The message has been removed.","Το μήνυμα διεγράφη"
"Total of %d record(s) have been marked as read.","Συνολικά %d εγγραφη/ές σημάνθηκαν ως αναγνωσμένες"
"Total of %d record(s) have been removed.","Συνολικά %d εγγραφη/ές διεγράφηκαν"
"Unable to proceed. Please, try again.","Υπήρξε αδυναμία να προχωρήσουμε. Παρακαλούμε, προσπαθήστε ξανά."
"Update Frequency","Συχνότητα Ενημέρωσης"
"Use HTTPS to Get Feed","Χρήση HTTPS για Λήψη της Ροής"
"Wrong message type","Λάθος τύπος μηνύματος"
"critical","κρίσιμο"
"major","υψηλή"
"minor","χαμηλή"
"notice","ειδοποίηση"
