" The customer does not exist in the system anymore.",""
" [deleted]",""
" and ",""
"%s (Default Template from Locale)",""
"%s cache type(s) disabled.",""
"%s cache type(s) enabled.",""
"%s cache type(s) refreshed.",""
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)",""
"(For US 2-letter state names)","(Για ονόματα πολιτείας ΗΠΑ 2-γράμματα)"
"(If left empty will be auto-generated)","(Αν μείνει κενό θα δημιουργηθεί αυτόματα)"
"(Leave empty for first spreadsheet)","(Αφήστε κενό για το πρώτο λογιστικό φύλλο)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Τα προϊόντα θα εισάγονται/ενημερώνονται σε αυτό το κατάστημα αν η στήλη 'κατάστημα' είναι κενή ή λείπει από το αρχείο εισαγωγής)"
"(Shift-)Click or drag to change value","(Shift-)Click ή σύρετε για να αλλάξετε την τιμή"
"(Starting with)","(Ξεκινώντας με)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Όταν είναι 'Όχι', τότε μόνο τα αντιστοιχισμένα πεδία θα εισαχθούν. Όταν κάνετε αντιστοίχιση, χρησιμοποιήστε 'column1', 'column2', κτλ.)"
"(You have to increase php memory_limit before changing this value)",""
"(\\t for tab)",""
"* - If indexing is in progress, it will be killed and new indexing process will start.",""
"* Required Fields","* Υποχρεωτικά Πεδία"
"- Click on any of the time parts to increase it","- Κάντε κλικ σε οποιοδήποτε από τα μέρη της ώρας για αύξηση της "
"- Hold mouse button on any of the above buttons for faster selection.","- Κρατήστε πατημένο το κουμπί του ποντικιού σε οποιοδήποτε από τα παραπάνω κουμπιά για πιο γρήγορη επιλογή."
"- Use the %s buttons to select month","- Χρησιμοποιήστε τα %s πλήκτρα να επιλέξετε το μήνα"
"- Use the %s, %s buttons to select year","- Χρησιμοποιήστε τα %s, %s πλήκτρα να επιλέξετε το έτος"
"- or Shift-click to decrease it","- ή Shift-κλικ για αύξησή του"
"- or click and drag for faster selection.","- ή κλικ και σύρετε για γρήγορη επιλογή."
"-- Not Selected --",""
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"-- Please Select Billing Agreement--","-- Παρακαλούμε Επιλέξτε Συμφωνία Χρέωσης --"
"-- Please Select a Category --",""
"-- Please select --","-- Παρακαλούμε επιλέξτε --"
"--Please Select--","--Παρακαλούμε Επιλέξτε--"
"1 Hour",""
"12 Hours",""
"12h AM/PM",""
"2 Hours",""
"24 Hours",""
"24h",""
"2YTD","2ΧΜΣ"
"6 Hours",""
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Σφάλμα 404</h1><p>Η Σελίδα δεν βρέθηκε.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> απαιτεί πρόσβαση στο λογαριασμό σας"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Προσοχή</strong>: στο Captcha υπάρχει διάκριση πεζώ-κεφαλαίων.."
"A user with the same user name or email aleady exists.",""
"API Key",""
"API Key Confirmation",""
"ASCII",""
"Abandoned Carts","Εγκαταλελειμμένα Καλάθια Αγορών"
"About the calendar","Σχετικά με το ημερολόγιο"
"Access Denied",""
"Access denied",""
"Access denied.",""
"Account Created in:","Ο Λογαριασμός Δημιουργήθηκε στο:"
"Account Created on (%s):",""
"Account Created on:","Ο Λογαριασμός Δημιουργήθηκε την:"
"Account Information","Πληροφορίες Λογαριασμού"
"Account Status",""
"Account status","Κατάσταση Λογαριασμού"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Actions XML","XML Ενεργειών"
"Active","Ενεργό"
"Add","Προσθήκη"
"Add Exception",""
"Add Field Mapping","Εισαγωγή Αντιστοίχισης Πεδίου"
"Add Field with URL:",""
"Add New","Προσθήκη Νέου"
"Add New Image","Εισαγωγή Νέας Εικόνας"
"Add New Profile","Εισωγωγή Νέου Προφίλ"
"Add New Role","Εισαγωγή Νέου Ρόλου"
"Add New Template","Εισαγωγή Νέου Προτύπου(Template)"
"Add New URL Rewrite",""
"Add New User","Εισαγωγή Νέου Χρήστη"
"Add New Variable",""
"Add Products","Προσθήκη Προϊόντων"
"Add URL Rewrite",""
"Add URL Rewrite for a Category",""
"Add URL Rewrite for a Product",""
"Add after",""
"Additional Cache Management",""
"Address Type:","Τύπος Διεύθυνσης:"
"Admin","Διαχειριστής"
"Advanced Admin Section",""
"Advanced Profiles","Προχωρημένα Προφίλ"
"Advanced Section",""
"After authorization application will have access to you account.","Μετά την αίτηση έγκρισης θα έχουν πρόσβαση στο λογαριασμό σας."
"All","Όλα"
"All Allowed Countries","Όλες οι Επιτρεπτές χώρες"
"All Cache",""
"All Files","Όλα τα Αρχεία"
"All Reviews","Όλες οι Αξιολογήσεις"
"All Store Views","Όλες οι Όψεις του Καταστήματος"
"All Tags","Όλες οι Ετικέτες"
"All Websites","Όλους τους Ιστότοπους"
"All countries","Όλες οι χώρες"
"All fields","Όλα τα πεδία"
"All possible rates were fetched, please click on ""Save"" to apply",""
"All rates were fetched, please click on ""Save"" to apply",""
"All valid rates have been saved.",""
"Always (during development)",""
"Amounts","Ποσά"
"An error has occured while syncronizing media storages.",""
"An error occurred while clearing the JavaScript/CSS cache.",""
"An error occurred while clearing the configurable swatches image cache.",""
"An error occurred while clearing the image cache.",""
"An error occurred while deleting URL Rewrite.",""
"An error occurred while deleting email template data. Please review log and try again.",""
"An error occurred while deleting record(s).",""
"An error occurred while deleting this role.",""
"An error occurred while deleting this set.",""
"An error occurred while deleting this template.",""
"An error occurred while finishing process. Please refresh the cache",""
"An error occurred while rebuilding the CatalogInventory Stock Status.",""
"An error occurred while rebuilding the catalog index.",""
"An error occurred while rebuilding the flat catalog category.",""
"An error occurred while rebuilding the flat product catalog.",""
"An error occurred while rebuilding the search index.",""
"An error occurred while refreshing the Catalog Rewrites.",""
"An error occurred while refreshing the Layered Navigation indices.",""
"An error occurred while refreshing the catalog rewrites.",""
"An error occurred while refreshing the layered navigation indices.",""
"An error occurred while saving URL Rewrite.",""
"An error occurred while saving account.",""
"An error occurred while saving review.",""
"An error occurred while saving the customer.",""
"An error occurred while saving this configuration:",""
"An error occurred while saving this role.",""
"An error occurred while saving this template.",""
"An error occurred while updating the selected review(s).",""
"Any","Κάθε"
"Any Attribute Set","Κάθε Σύνολο Χαρακτηριστικών"
"Any Group","Κάθε Ομάδα"
"Any Status","Κάθε Κατάσταση"
"Any Store","Κάθε Κατάστημα"
"Any Type","Κάθε Τύπο"
"Any Visibility","Κάθε Ορατότητα"
"Any data created since the backup was made will be lost including admin users, customers and orders.",""
"Archive file name:","Αρχείο - Όνομα αρχείου:"
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το πρότυπο(template);"
"Are you sure that you want to strip tags?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε ετικέτες;"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Are you sure you want to proceed?",""
"Area",""
"As low as:","Οι τιμές ξεκινούν από:"
"Assigned","Εκχωρημένα"
"Associated Tags",""
"Attribute Set Name:","Όνομα Συνόλου Χαρακτηριστικών:"
"Attributes","Χαρακτηριστικά"
"Authorization confirmed","Η εξουσιοδότηση επαληθεύτηκε"
"Authorize","Έγκριση"
"Authorize application","Εξουσιοδοτήστε εφαρμογή"
"Authorized OAuth Tokens",""
"Automatic (equalize price ranges)",""
"Automatic (equalize product counts)",""
"Average Order Amount","Μέσο Ποσό Παραγγελίας"
"Average Orders","Μέσο Ποσό Παραγγελιών"
"BINARY",""
"Back","Πίσω"
"Back to Login","Πίσω στην Σύνδεση Χρήστη"
"Backup","Αντίγραφο Ασφαλείας"
"Backup Name",""
"Backup options",""
"Backups","Αντίγραφα Ασφαλείας"
"Base currency","Βασικό νόμισμα"
"Bcc",""
"Bestsellers","Δημοφιλέστερα"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Address: ",""
"Billing Agreement","Συμφωνία Χρέωσης"
"Billing Agreements","Συμφωνίες Χρέωσης"
"Block Information","Πληροφορίες Τμήματος"
"Both (without and with tax)","Και τα δύο (με ή χωρίς φόρο)"
"Both IPN and PDT",""
"Browse Files...","Αναζήτηση Αρχείων..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.",""
"CMS","CMS"
"CRITICAL",""
"CSV","CSV"
"CSV / Tab separated","CSV / Διαχωρισμός με Tab"
"Cache Control",""
"Cache Control (beta)",""
"Cache Management",""
"Cache Type",""
"Cancel","Ακύρωση"
"Cannot add new comment.",""
"Cannot add tracking number.",""
"Cannot create an invoice without products.",""
"Cannot create credit memo for the order.",""
"Cannot delete the design change.",""
"Cannot delete tracking number.",""
"Cannot do shipment for the order separately from invoice.",""
"Cannot do shipment for the order.",""
"Cannot initialize shipment for adding tracking number.",""
"Cannot initialize shipment for delete tracking number.",""
"Cannot load track with retrieving identifier.",""
"Cannot retrieve tracking number detail.",""
"Cannot save shipment.",""
"Cannot save the credit memo.",""
"Cannot send shipment information.",""
"Cannot update item quantity.",""
"Cannot update the item\'s quantity.",""
"Catalog","Κατάλογος"
"Catalog Price Rules","Κανόνες Τιμής Καταλόγου"
"Catalog Rewrites",""
"Categories","Κατηγορίες"
"Category","Κατηγορία"
"Category:",""
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.",""
"Checkbox","Πεδίο Επιλογής"
"Child Transactions",""
"Choose Store View:",""
"Choose an attribute","Επιλέξτε ένα χαρακτηριστικό"
"Chosen category does not associated with any website, so url rewrite is not possible.",""
"Chosen product does not associated with any website, so url rewrite is not possible.",""
"Clear",""
"Close","Κλείσιμο"
"Code","Κωδικός"
"Comment text field cannot be empty.",""
"Complete","Ολοκληρωμένο"
"Config form fieldset clone model required to be able to clone fields",""
"Configuration","Ρυθμίσεις"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού"
"Confirm token authorization Pop Up for admin","Αναδυόμενο παράθυρο Επιβεβαίωσης έγκρισης διακριτικού για διαχειριστή"
"Confirm token authorization for admin","Επιβεβαίωση έγκρισης διακριτικού για διαχειριστή"
"Confirmation Of Authorization","Επιβεβαίωση της Εξουσιοδότησης"
"Confirmed email:",""
"Connect with the Magento Community","Συνδεθείτε με τη κοινότητα του Magento"
"Continue","Συνέχεια"
"Convert to Plain Text","Μετατροπή σε Απλό Κείμενο"
"Cookie (unsafe)",""
"Country","Χώρα"
"Country:","Χώρα:"
"Coupons","Κουπόνια"
"Create","Δημιουργία"
"Create DB Backup",""
"Create New Attribute","Δημιουργία Νέου Χαρακτηριστικού"
"Create URL Rewrite:",""
"Created At","Δημιουργήθηκε Την"
"Credit Card %s",""
"Credit Memo History","Ιστορικό Πιστωτικών Υπομνημάτων"
"Credit Memo Totals","Σύνολα Πιστωτικών Υπομνημάτων"
"Credit Memos","Πιστωτικά Υπομνήματα"
"Credit memo #%s comment added",""
"Credit memo #%s created",""
"Credit memo\'s total must be positive.",""
"Currency","Νόμισμα"
"Currency ""%s"" is used as %s in %s.",""
"Currency Information","Πληροφορίες Νομίσματος"
"Currency Setup Section",""
"Current Admin Password",""
"Current Configuration Scope:","Τρέχουσα Εμβέλεια Ρυθμίσεων:"
"Current Month",""
"Custom","Προσαρμογή"
"Custom Variable ""%s""",""
"Custom Variables","Προσαρμοσμένες Μεταβλητές"
"Customer","Πελάτης"
"Customer Group:","Ομάδα Πελατών:"
"Customer Groups","Ομάδες Πελατών"
"Customer Name","Όνομα Πελάτη"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customer Shopping Carts",""
"Customer Since:","Πελάτης Από:"
"Customer Tax Classes","Φορολογικές Κλάσεις Πελάτη"
"Customer with the same email already exists.","Υπάρχει ήδη Πελάτης με το ίδιο email."
"Customers","Πελάτες"
"Customers by Number of Orders","Πελάτες ανά Αριθμό Παραγγελιών"
"Customers by Orders Total","Πελάτες ανά Σύνολο Αξίας Παραγγελιών"
"DHTML Date/Time Selector","DHTML Επιλογέας Ημ/νία / Ώρα "
"Dashboard","Πίνακας Ελέγχου"
"Data Format","Μορφοποίηση Δεδομένων"
"Data transfer:","Μεταφορά δεδομένων:"
"Database","Βάση Δεδομένων"
"Dataflow - Advanced Profiles",""
"Dataflow - Profiles",""
"Date","Ημερομηνία"
"Date & Time",""
"Date Added","Ημερομηνία που έχει προστεθεί"
"Date Updated","Ημερομηνία που Ενημερώθηκε"
"Date selection:","Επιλογή Ημ/νίας:"
"Date selector","Επιλογέας Ημερομηνίας"
"Day","Ημέρα"
"Decimal separator:",""
"Default (Admin) Values","Προκαθορισμένες (Διαχειριστής) Τιμές"
"Default Billing Address","Προκαθ. Δ/νση Χρέωσης"
"Default Config","Προκαθορισμένη Διαμόρφωση"
"Default Template from Locale","Προκαθορισμένο Πρότυπο από Τοποθεσία"
"Default Values","Προκαθορισμένες Τιμές"
"Default display currency ""%s"" is not available in allowed currencies.",""
"Default scope","Προκαθορισμένη εμβέλεια"
"Delete","Διαγραφή"
"Delete %s",""
"Delete %s '%s'",""
"Delete File","Διαγραφή Αρχείου"
"Delete Image",""
"Delete Profile","Διαγραφή Προφίλ"
"Delete Role","Διαγραφή Ρόλου"
"Delete Store","Διαγραφή Καταστήματος"
"Delete Store View","Διαγραφή Όψης Καταστήματος"
