"Access denied.",""
"Can not find webservice adapter.",""
"Client Session Timeout (sec.)",""
"Default Response Charset",""
"Email","Email"
"Enable WSDL Cache",""
"General Settings","Γενικές Ρυθμίσεις"
"Invalid webservice adapter specified.",""
"Invalid webservice handler specified.",""
"Magento Core API",""
"Magento Core API Section",""
"SOAP/XML-RPC - Roles",""
"SOAP/XML-RPC - Users",""
"Unable to login.",""
"User Name","Όνομα Χρήστη"
"WS-I Compliance",""
"Web Services",""
"Your account has been deactivated.",""
