"%1$s incl tax.","%1$s συμπ.φόρου."
"* Required Fields","* Υποχρεωτικά Πεδία"
"-- Select --","-- Επιλέξτε --"
"Add New Option","Προσθήκη Νέας Επιλογής"
"Add Selection","Προσθήκη Επιλεγμένων"
"As Low as","Οι Τιμές Ξεκινούν από "
"As low as","Οι τιμές ξεκινούν από "
"Bundle Items","Συνδυαζόμενα Είδη"
"Bundle Product","Συνδυαζόμενο Προϊόν"
"Buy %1$s","Αγορά %1$s"
"Buy %1$s for","Αγορά %1$s για"
"Buy %1$s for %2$s","Αγορά %1$s για %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Αγορά %1$s για %2$s (%3$s συμπ. φόρου) έκαστο"
"Buy %1$s for %2$s each","Αγορά %1$s για %2$s έκαστο"
"Buy %1$s with %2$s discount each","Αγορά %1$s με %2$s έκπτωση έκαστο"
"Catalog Product View (Bundle)","Προβολή Καταλόγου Προϊόντων (Συνδυαζόμενα)"
"Checkbox","Πεδίο Επιλογής"
"Choose a selection...","Επιλέξτε..."
"Click for price","Πατήστε για τιμή"
"Close","Κλείσιμο"
"Default","Προκαθορισμένο"
"Default Qty","Προκαθορισμένη Ποσότητα"
"Default Title","Προκαθορισμένος Τίτλος"
"Drop-down","Drop-down"
"Dynamic","Δυναμικό"
"Excl. Tax","Χωρίς Φόρο"
"Excl. Tax:","Χωρίς Φόρο:"
"Fixed","Σταθερό"
"From","Από"
"From:","Από:"
"Gift Message","Μήνυμα Δώρου"
"Incl. Tax","Με Φόρο"
"Incl. Tax:","Με Φόρο:"
"Input Type","Τύπος Πεδίου"
"Is Required","Απαιτείται "
"Message:","Μήνυμα:"
"Multiple Select","Πολλαπλή Επιλογή"
"N/A","Μη Διαθέσιμο"
"No options of this product are available.","Καμία από τις επιλογές αυτού του προϊόντος δεν είναι διαθέσιμη."
"None","Κανένα"
"Percent","Τοις Εκατό"
"Percent Discount","Ποσοστό Έκπτωσης "
"Please Select Products to Add","Παρακαλούμε Επιλέξτε Προϊόντα για Προσθήκη"
"Please enter a number greater 0 in this field.","Παρακαλούμε εισάγετε έναν αριθμό μεγαλύτερο του 0 σε αυτό το πεδίο."
"Please enter search conditions to view products.","Παρακαλούμε εισάγετε συνθήκες αναζήτησης για εύρεση προϊόντων."
"Please select options for product.","Παρακαλούμε επιλέξτε επιλογές για προϊόντα."
"Please specify product option(s).","Παρακαλούμε καθορίστε επιλογή(ες) προϊόντος."
"Position","Θέση"
"Price Range","Εύρος Τιμής"
"Price Type","Τύπος Τιμής"
"Price as configured","Τιμή όπως διμορφώνεται"
"Qty:","Ποσ:"
"Radio Buttons","Πλήκτρα Δέκτη"
"Required options are not selected.","Δεν επιλέχτηκαν υποχρεωτικές επιλογές."
"SKU","SKU"
"Selected required options are not available.","Οι επιλεγμένες υποχρεωτικές επιλογές δεν είναι διαθέσιμες."
"Separately","Ξεχωριστά"
"Ship Bundle Items","Αποστολή Συνδυαζόμενων Ειδών"
"Shipment","Αποστολή Παραγγελίας"
"Store View Title","Τίτλος Όψης Καταστήματος"
"There is no defined renderer for ""%s"" option type.","Δεν υπάρχει καθορισμένος παροχέας για τον τύπο επιλογής ""%s""."
"This product is also part of bundle(s)","Αυτό το προϊόν είναι επίσης μέρος συνδυαζόμενου(ων)"
"To","Σε"
"To:","Στο:"
"Together","Μαζί"
"Total incl. Tax: %1$s","Σύνολο με Φόρο: %1$s"
"Use Default Value","Χρήση προκαθορισμένης τιμής"
"User Defined Qty","Χρήση Καθορισμένης Ποσ."
"and","και"
"each","έκαστο"
"save","αποθήκευση"
