"3D Secure CAVV","3D Ασφαλής CAVV"
"3D Secure Card Validation","3D Ασφαλής Έλεγχος Κάρτας"
"3D Secure Cardholder Validation","3D Ασφαλής Έλεγχος Κατόχου Κάρτας"
"3D Secure Electronic Commerce Indicator","3D Ασφαλής Δείκτης Ηλεκτρονικού Εμπορίου"
"3D Secure Verification Result","3D Ασφαλής Αποτέλεσμα Επαλήθευσης"
"3D Secure XID","3D Ασφαλής XID"
"Card Issuer Liability","Ευθύνη Εκδότη Κάρτας"
"Card Verification","Επαλήθευση Κάρτας"
"Enrolled","Δηλωμένη"
"Enrolled but Authentication Unavailable","Δηλωμένη αλλά Μη Διαθέσιμη Πιστοποίηση"
"Failed","Απέτυχε"
"MasterCard SecureCode","Ασφαλής Κωδικός MasterCard"
"Merchant Liability","Εμπορική Ευθύνη"
"Not Enrolled","Αδήλωτη "
"Order cannot be placed.","Η παραγγελία δεν μπορεί να πραγματοποιηθεί"
"Payment information error. Please start over.","Λάθος πληροφορίες πληρωμής. Παρακαλούμε ξεκινήστε απ'την αρχή."
"Please continue with placing order.","Παρακαλούμε συνεχίστε κάνοντας παραγγελία."
"Please verify the card with the issuer bank before placing the order.","Παρακαλούμε, πριν κάνετε παραγγελία, επαληθεύστε την κάρτα σας με την εκδότρια τράπεζα."
"Please verify the card with the issuer bank:","Παρακαλούμε επαληθεύστε την κάρτα σας με την εκδότρια τράπεζα:"
"Start/Reset Validation...","Έναρξη / Επαναφορά Επιβεβαίωσης..."
"Successful","Επιτυχής"
"Successful attempt","Επιτυχής προσπάθεια"
"The card has failed verification with the issuer bank.","Η κάρτα είχε αποτυχημένη επαλήθευση με την εκδότρια τράπεζα."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Υπήρξε λάθος στα στοιχεία πληρωμής που υποβλήθηκαν ή το χρονικό όριο έχει λήξει. Παρακαλούμε, προσπαθήστε ξανά."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Υπήρξε λάθος στα στοιχεία πληρωμής που υποβλήθηκαν ή το χρονικό όριο έχει λήξει. Παρακαλούμε, προσπαθήστε ξανά."
"This card has failed validation and cannot be used.","Η κάρτα είχε αποτυχημένη επιβεβαίωση και δεν μπορεί να χρησιμοποιηθεί."
"To ensure the security of your transactions","Για να εξασφαλίσετε την ασφάλεια των συναλλαγών σας "
"Unable to complete","Αδύνατον να ολοκληρωθεί"
"Validation failed.","Η επιβεβαίωση απέτυχε."
"Verification Failed","Η Επαλήθευση Απέτυχε"
"Verification Successful","Η Επαλήθευση ήταν Επιτυχής"
"Verification cannot be processed","Η επαλήθευση δεν μπορεί να επεξεργαστεί"
"Verified by Visa","Επαληθεύεται από Visa"
