"-- Please Select --","-- Επιλέξτε --"
"Add to Cart","Αγορά"
"Choose an Option...","Επιλογή..."
"Configurable Swatches","Παραμετροποιήσιμα Δείγματα"
"Enabled","Ενεργό"
"General Settings","Γενικές Ρυθμίσεις"
"Height","Ύψος"
"In Stock","Αμεσα Διαθέσιμο"
"Innermost dimensions, not including border, in pixels","Εσωτερικές διαστάσεις, χωρίς το πλαίσιο, σε pixels"
"Out of Stock","Εξαντλημένο"
"Previous","Προηγούμενο"
"Product Attribute to Use for Swatches in Product Listing","Χαρακτηριστικό Προϊόντος που θα Φαίνεται σαν Δείγματα στη Λίστα Προϊόντων"
"Product Attributes to Show as Swatches in Product Detail","Χαρακτηριστικό Προϊόντος που θα Φαίνεται σαν Δείγματα στις Λεπτομέριες Προϊόντος"
"Remove This Item","Αφαίρεση Είδους"
"Swatch Dimensions in Layered Navigation","Διαστάσεις Δείγματος στην Πλοήγηση με Επίπεδα"
"Swatch Dimensions in Product Listing","Διαστάσεις Δείγματος στη Λίστα Προϊόντων"
"Swatch Dimensions on Product Detail Page","Διαστάσεις Δείγματος στις Λεπτομέρειες Προϊόντος"
"Width","Πλάτος"
