"1.5.0.0 & later","1.5.0.0 & μεγαλύτερη"
"Action","Ενέργεια"
"Add Author","Προσθήκη Έγκρισης"
"Add Contents Path","Προσθήκη Διαδρομής Περιεχομένων"
"Add PHP Extension dependency","Προσθήκη εξάρτησης PHP Επέκτασης"
"Add Package dependency","Προσθήκη εξάρτησης Πακέτου"
"Add files","Προσθήκη αρχείων"
"Authors","Εγκρίσεις"
"Channel","Κανάλι"
"Contents","Περιεχόμενα"
"Create Extension Package","Δημιουργία Επέκτασης Πακέτου"
"Dependencies","Εξαρτήσεις"
"Description","Περιγραφή"
"Edit Extension","Επεξεργασία Επέκτασης"
"Email","Email"
"Extension","Επέκταση"
"Extensions","Επεκτάσεις"
"Failed to create the package.","Αποτυχία στη δημιουργία πακέτου"
"Failed to load the package data.","Αποτυχία στη φόρτωση των δεδομένων πακέτου."
"Failed to save the package.","Αποτυχία στην αποθήκευση του πακέτου."
"Files","Αρχεία"
"Folder","Φάκελος"
"Ignore","Αγνοείστε "
"Include","Συμπεριλαμβάνεται"
"License","Άδεια"
"License URI","Άδεια URI"
"Load Local Package","Φόρτωση Τοπικού Πακέτου"
"Load local Package","Φόρτωση τοπικού Πακέτου"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Διαχειριστής Magento Connect"
"Max","Μεγ."
"Maximum","Μέγιστο"
"Min","Ελαχ."
"Minimum","Ελάχιστο"
"Name","Όνομα"
"New Extension","Νέα Επέκταση"
"PHP Version","Έκδοση PHP"
"Package","Συσκευασία "
"Package Extensions","Επεκτάσεις Πακέτων"
"Package File Name","Όνομα Αρχείου Πακέτου"
"Package Info","Πληροφορία Πακέτου"
"Packages","Πακέτα"
"Path","Διαδρομή"
"Pre-1.5.0.0","Πρ-1.5.0.0"
"Release Info","Πληροφορίες Κυκλοφορίας"
"Remove","Αφαίρεση"
"Save As...","Αποθήκευση Ως..."
"Save Data and Create Package","Αποθήκευση Δεδομένων και Δημιουργία Πακέτου"
"Save package with custom package file name","Αποθήκευση πακέτου με τρέχων όνομα αρχείου πακέτου"
"Summary","Περίληψη"
"Supported releases","Υποστηριζόμενες κυκλοφορίες"
"System","Σύστημα"
"Target","Προορισμός"
"The package %s data has been loaded.","Τα δεδομένα του πακέτου %s έχουν φορτωθεί."
"The package data has been saved.","Τα δεδομένα του πακέτου έχουν αποθηκευτεί."
"There was a problem saving package data","Υπήρξε ένα πρόβλημα αποθηκεύοντας τα δεδομένα πακέτου"
"Type","Τύπος"
"User","Χρήστης"
