"%s","%s"
"%s already exist.","%s υπάρχει ήδη"
"%s already exists.","%s υπάρχει ήδη."
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Προειδοποίηση!</strong> Όταν χρησιμοποιείται το CDN, σε ορισμένες περιπτώσεις η JavaScript μπορεί να μη τρέχει σωστά, αν το CDN δεν είναι στο δικό σας subdomain."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Προειδοποίηση!</strong> Όταν χρησιμοποιείτε Κωδικό Καταστήματος στα URL, σε κάποιες περιπτώσεις το σύστημα μπορεί να μην δουλεύει σωστά, αν τα URL χωρίς τους Κωδικούς Καταστήματος είναι καθορισμένα σε τρίτο τμήμα υπηρεσιών (π.χ. PayPal κλπ)"
"A category object is required for determining the product request path.","Το αντικείμενο κατηγορίας είναι υποχρεωτικό για καθορισμό της αιτούμενης διαδρομής προϊόντος."
"Add Block Names to Hints","Προσθήκη Ονομάτων Τμημάτων στις Ενδείξεις-Στοιχεία"
"Add Secret Key to URLs","Προσθήκη Μυστικού Κλειδιού στα URLs"
"Add Store Code to Urls","Προσθήκη του Κωδικού Καταστήματος στα Urls"
"Admin","Διαχειριστής"
"Admin Base URL","Βασικό URL Διαχείρισης"
"Admin User Emails","Emails Χρηστών Διαχειριστή"
"Advanced","Για Προχωρημένους"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Μετά την επιλογή νέας θέσης αποθήκευσης μέσων, πατήστε το πλήκτρο Συγχρονισμός 
για να μεταφέρετε όλα τα μέσα σε αυτή τη τοποθεσία. Τα μέσα δεν θα είναι διαθέσιμα στη νέα 
τοποθεσία μέχρι να ολοκληρωθεί η διαδικασία συγχρονισμού."
"Allow Countries","Επιτρέψτε Χώρες"
"Allow Magento Backend to run in frame","Επιτρέψτε το Backend του Magento, να τρέξει σε πλαίσιο"
"Allow Magento Frontend to run in frame","Επιτρέψτε στο Frontend  του Magento, να τρέξει σε πλαίσιο"
"Allow Symlinks","Επιτρέψτε Συμβολικούς Δεσμούς"
"Allowed IPs (comma separated)","Επιτρεπτά IP(διαχωρισμένα με κόμμα)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Επιτρέπονται οι τύποι αρχείων: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Δεν υποστηρίζουν όλοι οι περιηγητές, όλους τους τύπους αρχείων."
"Allows customers to stay logged in when switching between different stores.","Επιτρέπει στους πελάτες να μένουν συνδεδεμένοι όταν επιλέγουν μεταξύ διαφορετικών καταστημάτων."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Εναλλακτικό κείμενο για επόμενο σύνδεσμο στο μενού σελιδοποίησης. Αν είναι κενό, η προεπιλεγμένη εικόνα βέλους θα χρησιμοποιηθεί."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Εναλλακτικό κείμενο για προηγούμενο σύνδεσμο στο μενού σελιδοποίησης. Αν είναι κενό, η προεπιλεγμένη εικόνα βέλους θα χρησιμοποιηθεί."
"An error occurred while saving. Please review the error log.","Ένα σφάλμα προέκυψε ενώ αποθηκεύατε. Παρακαλούμε διαβάστε το αρχείο καταγραφής σφαλμάτων."
"Anchor Text for Next","Αγκίστρωση Κειμένου για Επόμενο"
"Anchor Text for Previous","Αγκίστρωση Κειμένου για Προηγούμενο"
"Anchor symbol (#) is not supported in request path","Η αγκίστρωση του συμβόλου (#) δεν υποστηρίζεται στη ζητούμενη διαδρομή"
"Anchor symbol (#) is not supported in url rewrite suffix","Η αγκίστρωση του συμβόλου (#) δεν υποστηρίζεται στο επίθεμα του ξαναεγγραμμένου url"
"Are you sure?","Είστε σίγουροι;"
"Auto-redirect to Base URL","Αυτόματη ανακατεύθυνση στο Βασικό URL"
"Back","Πίσω"
"Backup Options","Επιλογές Αντιγράφων Ασφαλείας"
"Base JavaScript URL","Βασικό URL JavaScript"
"Base Link URL","Βασικό URL Συνδέσμων"
"Base Media URL","Βασικό URL Πολυμέσων"
"Base Secure URL","Βασικό Ασφαλές URL "
"Base Skin URL","Βασικό URL Προτύπου(Skin)"
"Base URL","Βασικό URL"
"Base Unsecure URL","Βασικό Μη Ασφαλές URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Πριν από την τροποποίηση του κωδικoύ όψης καταστήματος βεβαιωθείτε ότι δεν χρησιμοποιείται στο index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Πριν από την τροποποίηση του κωδικού του ιστότοπου βεβαιωθείτε ότι δεν χρησιμοποιείται στο index.php."
"Block with name ""%s"" already exists","Ένα Τμήμα με το όνομα ""%s"" υπάρχει ήδη"
"Browser Capabilities Detection","Δυνατότητες Ανίχνευσης Περιηγητή"
"CSS Settings","Ρυθμίσεις CSS"
"Cache Storage Management","Διαχείριση Αποθήκης Προσωρινής Μνήμης Cache"
