"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν μπορεί να εξαχθεί το τμήμα TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν μπορεί να ταιριάξει το TLD έναντι γνωστής λίστας"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' φαίνεται να είναι ένα DNS hostname αλλά δεν ταιριάζει με το σχήμα hostname για το TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' φαίνεται να είναι ένα DNS hostname αλλά περιέχει μία παύλα σε μη επιτρεπτή θέση"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' φαίνεται να είναι ένα DNS hostname αλλά η δεδομένη ένδειξη του μικροκώδικα δεν μπορεί να αποκωδικοποιηθεί"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' φαίνεται να είναι όνομα τοπικού δικτύου αλλά τα ονόματα τοπικών δικτύων δεν επιτρέπονται"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' φαίνεται να είναι διεύθυνση IP, αλλά οι διευθύνσεις IP δεν επιτρέπονται"
"'%value%' does not appear to be a valid local network name","'%value%' δεν φαίνεται να είναι έγκυρο όνομα τοπικού δικτύου"
"* Required Fields","* Υποχρεωτικά Πεδία"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"Account Dashboard","Πίνακας Ελέγχου"
"Account Information","Πληροφοριες Λογαριασμου"
"Account Sharing Options","Επιλογές Διαμοιρασμού Λογαριασμού"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Η επιβεβαίωση του λογαριασμού είναι υποχρεωτική. Παρακαλώ, ελέγξτε το ηλεκτρονικό σας ταχυδρομείο για το σύνδεσμο επιβεβαίωσης. Για να στείλουμε εκ νέου email επιβεβαίωσης παρακαλούμε  <a href=""%s"">Πατήστε εδώ</a>."
"Action","Ενέργεια"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Customer","Προσθήκη Νέου Πελάτη"
"Add New Customer Group","Προσθήκη Νέας Ομάδας Πελατών"
"Added From","Προστέθηκε Από"
"Additional Address Entries","Επιπλέον Στοιχεία Διεύθυνσης"
"Address","Διεύθυνση"
"Address Book","Κατάλογος Διευθύνσεων"
"Address Books","Κατάλογοι Διευθύνσεων"
"Address Information","Πληροφορίες Διεύθυνσης"
"Address Templates","Πρότυπα Διεύθυνσης"
"Addresses","Διευθύνσεις"
"Admin","Διαχειρ."
"All","Όλα"
"All Store Views","Όλες οι Όψεις Καταστήματος"
"All countries","Όλες οι χώρες"
