"(Make sure you keep it in a safe place.)","(Βεβαιωθείτε ότι το κρατάτε σε ασφαλές τόπο.)"
"(Optional. Leave blank for no prefix)","(Προαιρετικό. Αφήστε κενό για καθόλου πρόθεμα)"
"(ver. %s)","(έκδ. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Προστέθηκε επιπλέον διαδρομή, μετά το Βασικό URL, για πρόσβαση στο Σύστημα Διαχείρισης (π.χ. διαχειριστής, backend, έλεγχος κλπ.)."
"Admin Path","Διαδρομή Διαχειριστή"
"After successfull installation please click the button below.","Μετά από επιτυχή εγκατάσταση, παρακαλώ πατήστε το παρακάτω κουμπί."
"All packages were installed, click 'OK' to continue with installation.","Όλα τα πακέτα εγκαταστάθηκαν, πατήστε 'OK', για να συνεχίσετε με την εγκατάσταση. "
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Εναλλακτικά μπορείτε να δοκιμάσετε τη μέθοδο 'Χειροκίνητα Downloads και Αναβαθμίσεις'."
"Base URL","Βασικό URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Πριν προχωρήσετε στο κατάστημά σας, παρακαλούμε κρατήστε ένα αντίγραφο του κλειδιού κρυπτογράφησης (Το Magento το χρησιμοποιεί για να κρυπτογραφεί κωδικούς, πιστωτικές κάρτες κ.λ.π.)."
"Check out our","Δείτε τα"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Τσεκάρετε αυτό το κουτί μόνο αν δεν είναι δυνατό να επικυρωθεί αυτόματα το Ασφαλές URL, για παράδειγμα αν χρειάζεται πιστοποίηση HTTP."
"Check this box only if it is not possible to automatically validate the Base URL.","Τσεκάρετε αυτό το κουτί μόνο αν δεν είναι δυνατό να επικυρωθεί αυτόματα το Βασικό URL."
"Choose this if you would like to test frontend and backend functionality.","Επιλέξτε αυτό εάν θέλετε να ελέγξετε την λειτουργία του frontend και του backend."
"Configuration","Διαμόρφωση"
"Confirm Password","Επαλήθευση Κωδικού"
"Connection","Σύνδεση"
"Continue","Συνέχεια"
"Continue After Manual Download","Συνέχεια Μετά το Χειροκίνητο Download"
"Continue Full Download / SVN Installation","Συνέχεια με Πλήρες Download / SVN Εγκατάσταση"
"Create Admin Account","Δημιουργία Λογαριασμού Διαχειριστή"
"Currently this is the most stable state available for Magento packages.","Προς το παρών αυτή είναι η πιο σταθερή κατάσταση διαθέσιμη για πακέτα του Magento."
"Database","Βάση Δεδομένων"
"Database Connection","Σύνδεση Βάσης Δεδομένων"
"Database Name","Όνομα Βάσης Δεδομένων"
"Database Name cannot be empty.","Το Όνομα της Βάσης Δεδομένων δεν μπορεί να είναι κενό."
"Database Type","Τύπος Βάσης Δεδομένων"
"Database connection error.","Σφάλμα Σύνδεσης Βάσης Δεδομένων."
"Database host","Database host"
"Database server does not support the InnoDB storage engine.","Ο εξυπηρετητής της Βάσης Δεδομένων δεν υποστηρίζει το μηχανισμό αποθήκευσης InnoDB."
"Database user name","Όνομα χρήστη Βάσης Δεδομένων"
"Database user password","Κωδικός χρήση βάσης δεδομένων"
"Default Currency","Προκαθορισμένο νόμισμα"
"Download","Download"
"Download Magento Core Modules and Updates","Κατεβάστε Core Modules του Magento και Updates"
"Downloading and installing Magento, please wait...","Γίνεται Download και εγκατάσταση του Magento, παρακαλούμε περιμένετε..."
"Email","Email"
"Email Address","Διεύθυνση Email"
"Enable Charts","Ενεργοποίηση Διαγραμμάτων"
"Enable this option if you want the charts to be displayed on Dashboard.","Ενεργοποιήστε αυτή την επιλογή, αν θέλετε τα καλάθια να εμφανίζονται στον Πίνακα Ελέγχου."
"Enable this option only if you have SSL available.","Ενεργοποιήστε αυτή την επιλογή μόνο αν έχετε SSL."
"Encryption Key","Κλειδί κρυπτογράφησης "
"File System","Σύστημα Αρχείων"
"First Name","Όνομα"
"Full Download / SVN Installation","Πλήρες Download / SVN Εγκατάσταση"
"Get ready to experience Open-Source eCommerce Evolved.","Ετοιμαστείτε να δοκιμάσετε την Εξέλιξη του Open-Source eCommerce."
"Go to Backend","Πήγαινε στο Backend"
"Go to Frontend","Πήγαινε στο Frontend"
"Having trouble installing Magento?","Έχετε πρόβλημα να εγκαταστήσετε το Magento;"
"Help Us to Keep Magento Healthy","Βοηθείστε μας να κρατήσουμε το Magento υγιές"
"Host","Host"
"I agree to the above terms and conditions.","Συμφωνώ με τους παραπάνω όρους χρήσης και συνθήκες."
"If you are a developer and would like to have the latest public updates, choose this option.","Αν είστε developer και θα θέλατε να έχετε τις τελευταίες δημόσιες αναβαθμίσεις, επιλέξτε την επιλογή αυτή."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Αν τρέχετε τη PHP ως CGI, οι PHP διεργασίες σας μπορεί να τρέχουν κάτω από τον ίδιο χρήστη με αυτόν που χρησιμοποιήσατε όταν ανεβάζατε αρχεία του Magento."
