"%name% '%value%' is too long. It must has length %min% symbols.","Το %όνομα% '%value%' είναι πολύ μεγάλο. Πρέπει να έχει μήκος  %ελαχ.% σύμβολα."
"%name% '%value%' is too short. It must has length %min% symbols.","Το %όνομα% '%value%' είναι πολύ μικρό. Πρέπει να έχει μήκος  %ελαχ.% σύμβολα."
"* Required Fields","* Υποχρεωτικά Πεδία"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> απαιτεί πρόσβαση στο λογαριασμό σας"
"Admin","Διαχειριστής"
"After authorization application will have access to you account.","Μετά την εξουσιοδότηση, η εφαρμογή θα έχει πρόσβαση στο λογαριασμό σας."
"An error occurred on confirm authorize.","Προέκυψε σφάλμα κατά την επαλήθευση της εξουσιοδότησης."
"An error occurred on delete action.","Προέκυψε σφάλμα κατά την ενέργεια διαγραφής."
"An error occurred on delete application.","Προέκυψε σφάλμα κατά τη διαγραφή της εφαρμογής."
"An error occurred on reject authorize.","Προέκυψε σφάλμα κατά την απόρριψη της εξουσιοδότησης."
"An error occurred on saving consumer data.","Σφάλμα προέκυψε κατά την αποθήκευση των δεδομένων καταναλωτή."
"An error occurred on update revoke status.","Σφάλμα προέκυψε κατά την ενημέρωση της κατάστασης ανάκλησης. "
"An error occurred while deleting the consumer.","Σφάλμα προέκυψε ενώ διαγράφατε τον καταναλωτή."
"An error occurred.","Ένα σφάλμα προέκυψε."
"An error occurred. Your authorization request is invalid.","Ένα σφάλμα προέκυψε. Το αίτημα σας για εξουσιοδότηση δεν είναι έγκυρο."
"App Name","Όνομα Εφαρμογής"
"Application ""%s"" has been deleted.","Η εφαρμογή ""%s"" έχει διαγραφεί."
"Application ""%s"" has been enabled.","Η εφαρμογή ""%s"" έχει ενεργοποιηθεί."
"Application ""%s"" has been revoked.","Η εφαρμογή ""%s"" έχει ανακληθεί."
"Application Name","Όνομα Εφαρμογής"
"Application not found.","Η εφαρμογή δεν βρέθηκε."
"Are you sure you want to delete this application?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτή την εφαρμογή;"
"Are you sure you want to disable this application?","Είστε βέβαιοι πως θέλετε να απενεργοποιήσετε αυτή την εφαρμογή;"
"Are you sure you want to enable this application?","Είστε βέβαιοι πως θέλετε να ενεργοποιήσετε αυτή την εφαρμογή;"
"Authorization confirmed","Η εξουσιοδότηση επαληθεύτηκε"
"Authorization confirmed.","Η εξουσιοδότηση επαληθεύτηκε."
"Authorize","Εξουσιοδοτώ "
"Authorize application","Εξουσιοδοτήστε εφαρμογή"
"Authorized Tokens","Εξουσιοδοτημένα Διακριτικά "
"Callback URL","URL Επανάκλησης"
"Cleanup Probability","Πιθανότητα Αναμόρφωσης"
"Cleanup Settings","Ρυθμίσεις Αναμόρφωσης"
"Close","Κλείσιμο"
"Confirm OAuth token authorization","Επιβεβαίωση έγκρισης OAuth διακριτικού"
"Confirm token authorization Pop Up for admin","Αναδυόμενο παράθυρο Επιβεβαίωσης έγκρισης διακριτικού για διαχειριστή"
"Confirm token authorization for admin","Επιβεβαίωση έγκρισης διακριτικού για διαχειριστή"
"Confirmation Of Authorization","Επιβεβαίωση της Εξουσιοδότησης"
"Consumer Information","Πληροφορίες Καταναλωτή"
"Consumer Name","Όνομα Καταναλωτή"
"Consumers","Καταναλωτές"
"Created At","Δημιουργήθηκε Την"
"Current Admin Password","Τρέχων Κωδικός Διαχειριστή"
"Customer","Πελάτης"
"Customer My Account My OAuth Applications","Οι OAuth Εφαρμογές μου στον Λογαριασμό του Πελάτη"
"Delete","Διαγραφή"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Edit Consumer","Επεξεργασία Καταναλωτή"
"Email","Email"
"Email Address","Διεύθυνση Email"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργοποιημένο"
"Entry with ID #%s not found.","Δεν βρέθηκε η εγγραφή με ID #%s."
"Expiration Period","Περίοδος Λήξης"
"Give the verifier code to application administrator","Δώστε τον κωδικό ελεγκτή στον διαχειριστή της εφαρμογής"
"ID","ID"
"Invalid Callback URL","Μη έγκυρο URL Επανάκλησης"
"Invalid ID parameter.","Μη έγκυρη παράμετρος ID."
"Invalid Rejected Callback URL","Μη έγκυρο Απορριμμένο URL Επανάκλησης"
"Invalid entry ID.","Μη έγκυρη εισαγωγή ID."
"Invalid revoke status.","Μη έγκυρη κατάσταση ανάκλησης."
"Key","Κλειδί"
"Log In","Σύνδεση"
"Log in as a customer","Σύνδεση ως ο πελάτης"
"Log in as admin","Σύνδεση ως διαχειριστής"
"Log in as customer","Σύνδεση ως πελάτης"
"Log in to use <strong>%s</strong>","Συνδεθείτε για να χρησιμοποιήσετε <strong>%s</strong>"
"Login","Σύνδεση"
"My Applications","Οι Εφαρμογές μου"
"Name","Όνομα"
"New Consumer","Νέος Καταναλωτής"
"OAuth","OAuth"
"OAuth Admin My Apps","Εφαρμογές OAuth Διαχειριστή "
"OAuth Authorized Tokens","OAuth Εγκεκριμένα Διακριτικά"
"OAuth Consumers","OAuth Καταναλωτές"
"OAuth authorization Pop Up for customer","Αναδυόμενο παράθυρο OAuth εξουσιοδότησης για πελάτη"
"OAuth authorization for admin","OAuth εξουσιοδότηση για διαχειριστή"
"OAuth authorization for customer","OAuth εξουσιοδότηση για πελάτη"
"OAuth authorization simple for admin","OAuth εξουσιοδότηση απλά για διαχειριστή"
"Password","Κωδικός"
"Permissions","Δικαιώματα"
"Please login to proceed authorization.","Παρακαλούμε συνδεθείτε για να προχωρήσει η εξουσιδότηση."
"Please select needed row(s).","Παρακαλούμε επιλέξτε την/τις απαραίτητη/ες γραμμή(ες)"
"Please select revoke status.","Παρακαλούμε επιλέξτε την κατάσταση ανάκλησης."
"REST - My Apps","ΥΠΌΛΟΙΠΑ - Οι Εφαρμογές μου "
"REST - OAuth Authorized Tokens","ΥΠΌΛΟΙΠΑ - OAuth Εξουσιοδοτημένα Διακριτικά "
"REST - OAuth Consumers","ΥΠΌΛΟΙΠΑ - OAuth Καταναλωτές"
"Reject","Απόρριψη"
"Reject OAuth token authorization","Απόρριψη έγκρισης OAuth διακριτικού"
"Reject authorization","Απόρριψη έγκρισης"
"Reject token authorization Pop Up for admin","Αναδυόμενο παράθυρο Απόρριψης έγκρισης διακριτικού για διαχειριστή"
"Reject token authorization for admin","Απόρριψη έγκρισης διακριτικού για διαχειριστή"
"Rejected Callback URL","Απορριμμένο URL Επανάκλησης "
"Rejection Of Authorization","Απόρριψη της Έγκρισης"
"Revoked","Ανακληθέν "
"Role Name","Όνομα Ρόλου"
"Save","Αποθήκευση"
"Save and Continue Edit","Αποθήκευση και Συνέχιση της Επεξεργασίας"
"Secret","Μυστικός"
"Selected entries enabled.","Ενεργοποιήθηκαν οι επιλεγμένες εγγραφές."
"Selected entries has been deleted.","Οι επιλεγμένες εγγραφές έχουν διαγραφεί."
"Selected entries revoked.","Ανακλήθηκαν οι επιλεγμένες εγγραφές."
"Status","Κατάσταση"
"System","Σύστημα"
"The application access request is rejected.","Η αίτηση πρόσβασης στην εφαρμογή απορρίφθηκε."
"The consumer has been deleted.","Ο καταναλωτής έχει διαγραφεί."
"The consumer has been saved.","Ο καταναλωτής έχει αποθηκευτεί."
"Token Status Change","Αλλαγή Κατάστασης Διακριτικών "
"Token Status Change Email Template","Πρότυπο Email Αλλαγής Κατάστασης Διακριτικών"
"Unable to find a consumer.","Αδύνατον να βρεθεί ο καταναλωτής."
"User ID","ID Χρήστη"
"User Name","Όνομα Χρήστη"
"User Type","Τύπος Χρήστη"
"Verifier code: %s","Κωδικός Ελεγκτή: %s "
"You have no applications.","Δεν έχετε εφαρμογές."
"deleted","διαγραμμένο "
"enabled","ενεργοποιημένο"
"revoked","ανακληθέν"
