"An error occurred while clearing the external full page cache.","Παρουσιάστηκε σφάλμα κατά τον καθαρισμό της εξωτερικής προσωρινής μνήμης (cache) πλήρων σελίδων."
"Cookie Lifetime (seconds)","Χρόνος ζωής Cookies (δευτερόλεπτα)"
"Enable External Cache","Ενεργοποίηση Εξωτερικής Προσωρινής Μνήμης (Cache)"
"External Cache Control","Έλεγχος Εξωτερικής Προσωρινής Μνήμης -External Cache"
"External Full Page Cache Settings","Ρυθμίσεις Εξωτερικής Προσωρινής Μνήμης (Cache) Πλήρων Σελίδων"
"External full page cache.","Εξωτερική προσωρινή μνήμη (cache) πλήρων σελίδων"
"Failed to load external cache control","Απέτυχε η φόρτωση της εξωτερικής προσωρινής μνήμης (cache)"
"Flush External Page Cache","Καθαρισμός Εξωτερικής Προσωρινής Μνήμης (Cache)"
"If empty, default value will be used.","Αν είναι κενό, θα χρησιμοποιηθεί η προκαθορισμένη τιμή"
"The external full page cache has been cleaned.","Η εξωτερική προσωρινή μ΄νμη (cache) έχει καθαριστεί."
"Zend Full Page Cache","Προσωρινή Μνήμη (Cache) Πλήρων Σελίδων Zend"
