"Abandoned Carts","Εγκαταλελειμμένα Καλάθια Αγορών"
"Abandoned carts","Εγκαταλελλειμένα καλάθια"
"Action","Ενέργεια"
"Add to Cart","Αγορά"
"Add to Compare","Σύγκριση"
"Add to Wishlist","Προσθήκη στα επιθυμητά"
"Any","Κάθε"
"Applied Coupon","Εφαρμοσμένο Κουπόνι"
"Applies to Any of the Specified Order Statuses","Ισχύει για Καθορισμένες Παραγγελίες"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Είστε σίγουροι ότι θέλετε να ανανεώσετε την διάρκεια ζωής των στατιστικών; Μπορεί να υπάρξει επίπτωση στην επίδοση κατά τη διάρκεια αυτής της λειτουργίας."
"Are you sure?","Είστε σίγουροι"
"Avg. Approved Rating","Μέσος όρος Εγκεκριμένων Βαθμολογιών"
"Avg. Rating","Μέσος όρος Βαθμολογιών"
"Bestsellers","Καλύτερες Πωλήσεις (Bestsellers)"
"Bought from wishlists","Αγορασμένα από τα επιθυμιτά"
"CSV","CSV"
"Carts","Καλάθια"
"Catalog Category (Without Subcategories)","Κατάλογος Κατηγοριών (Χωρίς Υποκατηγορίες)"
"Compared Products Grid Template","Πρότυπο Πλέγμα Συγκρινόμενων Προϊόντων"
"Compared Products List Template","Πρότυπη Λίστα Συγκρινόμενων Προϊόντων"
"Coupons","Κουπόνια"
"Coupons Usage Report","Αναφορά Χρήσης Κουπονιών"
"Created At","Δημιουργήθηκε Την"
"Current Month Starts","Ξεκινά το Τρέχοντα Μήνα"
"Customer","Πελάτης"
"Customer Name","Όνομα Πελάτη"
"Customer Tags","Ετικέτες Πελάτη"
"Customers","Πελάτες"
"Customers Report","Αναφορά Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tags","Ετικέτες Πελατών"
"Customers by Number of Orders","Πελάτες ανά Αριθμό Παραγγελιών"
"Customers by Orders Total","Πελάτες ανά Σύνολο Αξίας Παραγγελιών"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by orders total","Πελάτες ανά σύνολα παραγγελιών"
"Customers that have wishlist: %s%","Πελάτες που έχουν λίστα επιθυμητών: %s%"
"Dashboard","Πίνακας Ελέγχου"
"Day","Ημέρα"
"Default Recently Compared Products Count","Προεπιλεγμένη Αρίθμηση Πρόσφατων Συγκρινόμενων Προϊόντων"
"Default Recently Viewed Products Count","Προεπιλεγμένη Αρίθμηση Πρόσφατων Εμφανιζόμενων Προϊόντων"
"Description","Περιγραφή"
"Detail","Λεπτομέρεια"
"Downloads","Λήψεις"
"Email","Email"
"Empty Rows","Κενές Γραμμές"
"Excel XML","Αρχείο Excel XML"
"Filter","Φίλτρο"
"First Name","Όνομα"
"From","Από"
"Guest","Επισκέπτης"
"Hits","Εμφανίσεις (hits)"
"ID","ID"
"IP Address","Διεύθυνση IP"
"Index model name must be defined","Το Ευρετήριο των ονομάτων των μοντέλων πρέπει να καθορίζεται"
"Invalid date specified.","Καθορίστηκε μη έγκυρη ημερομηνία."
"Invoiced","Τιμολογημένα"
"Items in Cart","Προϊόντα στο Καλάθι"
"Last Name","Επίθετο"
"Last Review","Τελευταία Αξιολόγηση"
"Link","Σύνδεσμος"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Λίστα Προϊόντων που Συγκρίθηκαν Πρόσφατα και Αφαιρέθηκαν από τη Λίστα Σύγκρισης από τον Επισκέπτη"
"List of Products Recently Viewed by Visitor","Λίστα  Πρόσφατων Εμφανιζόμενων Προϊόντων ανά Επισκέπτη"
"Low Stock","Χαμηλό Απόθεμα"
"Low stock","Χαμηλό απόθεμα"
"Match Period To","Περίοδος Αντιστοιχιών "
"Month","Μήνα"
"Most Viewed","Περισσότερες Εμφανίσεις"
"Name","Όνομα"
"New Accounts","Νέοι Λογαριασμοί"
"No","Όχι"
"Number Added","Αριθμός Προστέθηκε"
"Number Fulfilled","Αριθμός Συμπληρώθηκε"
"Number Of Reviews","Αριθμός Αξιολογήσεων"
"Number Purchased","Αριθμός Αγορών"
"Number Viewed","Αριθμός Εμφανίσεων"
"Number of Items","Αριθμός Προϊόντων"
"Number of New Accounts","Αριθμός Νέων Λογαριασμών"
"Number of Products to display","Αριθμός Προϊόντων προς εμφάνιση"
"Number of Reviews","Αριθμός Αξιολογήσεων"
"Number of Times Deleted","Πόσες Φορές Διαγράφεται "
"Number of Total Tags","Αριθμός Συνολικών Ετικετών"
"Number of Unique Tags","Αριθμός Μοναδικών Ετικετών"
"Number of Views","Αριθμός Εμφανίσεων"
"Number of items bought from a wishlist: %s","Αριθμός προϊόντων αγορασμένα από τα επιθυμητά: %s"
"Number of times wishlists have been shared (emailed): %s","Αριθμός φορών που διαμοιράστηκαν λίστες επιθυμητών (emailed): %s"
"Number of wishlist conversions: %s","Αριθμός μετατροπων λίστας ειθυμητών: %s"
"Number of wishlist referrals: %s","Αριθμός παραπομπών λίστας επιθυμητών: %s"
"Number of wishlists: %s","Αριθμός λίστα επιθυμητών: %s"
"Order Status","Κατάσταση Παραγγελίας"
"Order Taxes Report Grouped by Tax Rate","Αναφορά Φόρων Παραγγελιών ομαδοποιημένοι ανά Ποσοστό Φόρου"
"Orders","Παραγγελίες"
"Out of stock","Εκτός αποθέματος"
"Period","Περίοδος"
"Poducts Report","Αναφορά Προϊόντων"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Popularity","Δημοτικότητα"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","Κωδικός Προϊόντος (SKU)"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Ordered","Παραγγελμένα Προϊόντα"
"Products Report","Αναφορά Προϊόντων"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Products Tags","Ετικέτες Προϊόντων"
"Products in carts","Προϊόντα στα Καλάθια"
"Purchases","Αγορές"
"Quantity Ordered","Ποσότητα Παραγγελθέντων"
"Quantity of Items","Ποσότητα Προϊόντων"
"Recently Compared","Πρόσφατες Συγκρίσεις "
"Recently Compared Products","Πρόσφατες Συγκρίσεις Προϊόντων"
"Recently Viewed","Έχουν Προβληθεί Πρόσφατα"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"Recently Viewed/Compared Products","Πρόσφατες Εμφανίσεις/Συγκρίσεις Προϊόντων"
"Refresh Lifetime Statistics","Ανανέωσε τη Διάρκεια Ζωής των Στατιστικών"
"Refresh Statistics","Ανανέωσε τα Στατιστικά"
"Refresh Statistics for the Last Day","Ανανέωσε τα Στατιστικά για την Τελευταία Μέρα"
"Refunds","Επιστροφές Χρημάτων"
"Report","Αναφορά"
"Reports","Αναφορές"
"Results","Αποτελέσματα"
"Revenue","Εισόδημα"
"Review","Αξιολόγηση"
"Reviews","Αξιολογήσεις"
"Reviews for %s","Αξιολογήσεις για %s"
"Sales","Πωλήσεις"
"Sales Report","Αναφορά Πωλήσεων"
"Search Query","Ερώτημα Αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Select day of the month.","Επιλέξτε ημέρα του μήνα."
"Shipping","Αποστολές"
"Shopping Cart","Καλάθι"
"Shopping Cart Price Rule","Κανόνας Τιμής του Καλαθιού Αγοράς"
"Show Actual Values","Εμφάνισε Πραγματικές Τιμές"
"Show Report","Εμφάνισε Αναφορά"
"Show for Current","Εμφάνιση για το Τρέχων"
"Specified","Καθορισμένο "
"Statistics","Στατιστικά"
"Stock Qty","Ποσ. Αποθέματος"
"Submitted In","Υποβλήθηκε Στο"
"Submitted On","Υποβλήθηκε Την"
"Subtotal","Μερικό Σύνολο"
"Tag","Ετικέτα"
"Tag ""%s"" details","Λεπτομέρειες ετικέτας ""%s"""
"Tag Detail","Λεπτομέρειες Ετικέτας"
"Tag Name","Όνομα Ετικέτας"
"Tag Use","Χρήση Ετικέτας "
"Tags Submitted by %s","Ετικέτες που υποβλήθηκαν ανά %s"
"Tags submitted to %s","Ετικέτες που υποβλήθηκαν στο %s"
"Tax","Φόρος"
"Title","τίτλος"
"To","Σε"
"Total","Σύνολο"
"Total Invoiced vs. Paid Report","Τιμολογημένα Σύνολα έναντι με Αναφορά Πληρωμών"
"Total Ordered Report","Αναφορά Σύνολου Παραγγελθέντων"
"Total Refunded Report","Αναφορά Συνόλου Επιστροφών Χρημάτων"
"Total Shipped Report","Αναφορά Συνόλου Απεσταλμένων "
"Total Tags","Σύνολο Ετικετών"
"Total invoiced","Σύνολο τιμολογήσεων"
"Total refunded","Σύνολο επιστροφής χρημάτων"
"Updated At","Ενημερώθηκε Την"
"Viewed Products Grid Template","Πρότυπο Πλέγμα Εμφανιζόμενων Προϊόντων"
"Viewed Products List Template","Πρότυπη Λίστα Εμφανιζόμενων Προϊόντων"
"Visible In","Ορατό σε"
"Wishlist Report","Αναφορά λίστα Επιθυμητων"
"Wishlist vs. Regular Order","Επιθυμητά έναντι Κανονικών Παραγγελιών"
"Wishlists","Λίστες Επιθυμητών"
"Year","Έτος"
"Year-To-Date Starts","Από Ημ/νία Έναρξης έως σήμερα"
"Yes","Ναι"
"Your Recently Compared","Οι Πρόσφατες Συγκρίσεις σας"
"Your Recently Viewed","Οι Πρόσφατες Εμφανίσεις σας"
"undefined","απροσδιόριστο "
