"ALL","ΟΛΕΣ"
"ANY","ΟΠΟΙΑΔΗΠΟΤΕ"
"Add","Προσθήκη"
"Apply","Εφαρμογή"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Customer Groups must be specified.","Οι Ομάδες Πελατών πρέπει να είναι καθορισμένες."
"End Date must be greater than Start Date.","Η Τελική Ημ/νία πρέπει να είναι μευαλύτερη απ΄την Αρχική Ημ/νία."
"FALSE","ΨΕΥΔΗΣ"
"If %s of these conditions are %s:","Εάν %s από τις συνθήκες είναι %s:"
"Invalid discount amount.","Μη έγκυρο ποσό έκπτωσης."
"Open Chooser","Ανοιχτός Επιλογέας"
"Perform following actions","Εκτέλεσε Τις Ακόλουθες Ενέργεις"
"Please choose a condition to add...","Παρακαλούμε επιλέξτε μια συνθήκη για να προσθέσετε..."
"Please choose an action to add...","Παρακαλούμε επιλέξτε μια ενέργεια για να προσθέσετε ..."
"Remove","Αφαίρεση"
"TRUE","ΑΛΗΘΗΣ"
"There is no information about associated entity type ""%s"".","Δεν υπάρχει πληροφορία σχετικά με τον τύπο ""%s"" συσχετιζόμενης οντότητας."
"Websites must be specified.","Οι ιστότοποι πρέπει να είναι καθορισμένοι."
"by","ανα"
"contains","περιέχει"
"does not contain","δεν περιέχει"
"equals or greater than","ισούτε ή είναι μεγαλύτερο από"
"equals or less than","ισούτε ή είναι μικρότερο από"
"greater than","μεγαλύτερο από"
"is","είναι"
"is not","δεν είναι"
"is not one of","δεν είναι ένα από"
"is one of","είναι ένα από"
"less than","μικρότερο από"
"to","εώς"
