"""%s"" coupon code is not valid.","""%s"" o κωδικός κουπονιού δεν είναι έγκυρος."
"%s","%s"
"%s / %s rate:","%s / %s ποσοστό:"
"%s for %s","%s για %s"
"%s order(s) cannot be canceled","%s παραγγελία(ες) είναι αδύνατο να ακυρωθoύν"
"%s order(s) have been canceled.","%s παραγγελία(ες) έχουν ακυρωθεί."
"%s order(s) have been put on hold.","%s παραγγελία(ες) έχουν τεθεί σε αναμονή."
"%s order(s) have been released from holding status.","%s παραγγελία(ες) έχουν ελευθερωθεί από την κατάσταση αναμονής."
"%s order(s) were not put on hold.","%s παραγγελία(ες) δεν τέθηκαν σε αναμονή."
"%s order(s) were not released from holding status.","%s παραγγελία(ες) δεν ελευθερώθηκαν από την κατάσταση αναμονής."
"* - Enter custom price excluding tax","* - Εισαγωγή προσαρμοσμένης τιμής μη συμπ. φόρου"
"* - Enter custom price including tax","* - Εισαγωγή προσαρμοσμένης τιμής συμπ. φόρου"
"* Required Fields","* Υποχρεωτικά Πεδία"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"-- Please Select Billing Agreement--","-- Παρακαλούμε Επιλέξτε Συμφωνία Χρέωσης --"
"About This Order:","Σχετικά με αυτή τη Παραγγελία:"
"About This Profile:","Σχετικά με αυτό το Προφίλ:"
"About Your Invoice","Σχετικά με το Τιμολόγιό σας"
"About Your Order","Σχετικά με τη Παραγγελία σας"
"About Your Refund","Σχετικά με τις Επιστροφές των Χρημάτων σας"
"About Your Shipment","Σχετικά με την Αποστολή της Παραγγελίας σας"
"Accept Payment","Αποδοχή Πληρωμής"
"Accept or Deny Payment","Αποδοχή ή Απόρριψη Πληρωμής"
"Account Information","Πληροφορίες Λογαριασμού"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Activate","Ενεργοποίηση"
"Active","Ενεργό"
"Add","Προσθήκη"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add Order Comments","Προσθήκη Σχολίων Παραγγελίας"
"Add Package","Προσθήκη Πακέτου"
"Add Products","Προσθήκη Προϊόντων"
"Add Selected Product(s) to Option","Προσθήκη Επιλεγμένου(ων) Προϊόντος(ων) στις Επιλογές"
"Add Selected Product(s) to Order","Προσθήκη Επιλεγμένου(ων) Προϊόντος(ων) στη Παραγγελία"
"Add Selected Product(s) to Package","Προσθήκη Επιλεγμένου(ων) Προϊόντος(ων) στη Συσκευασία"
"Add To Order","Προσθήκη Στη Παραγγελία"
"Add Tracking Number","Προσθήκη Αριθμού Παρακολούθησης"
"Add comment to order","Προσθήκη σχολίων στη παραγγελία"
"Add new comment to credit memo","Προσθήκη νέου σχολίου στο πιστωτικό υπόμνημα"
"Add new comment to shipment","Προσθήκη νέου σχολίου στην αποστολή παραγγελίας"
"Add new tracking number","Προσθήκη νέου αριθμού παρακολούθησης"
"Add to Cart","Αγορά"
"Additional Product Info","Πρόσθετες Πληροφορίες Προϊόντος"
"Address","Διεύθυνση"
"Address model is not defined.","Το ευρετήριο διευθύνσεων δεν καθορίζεται."
"Adjustment Fee","Χρέωση Προσαρμογής"
"Adjustment Refund","Επιστροφή Χρημάτων Προσαρμογής"
"Agreement Information","Πληροφορίες Συμφωνίας"
"Allow Reorder","Επιτρεπτή η Επαναπαραγγελία "
"Amount","Ποσό"
"Amount: %s.","Ποσό: %s."
