"Action","Ενέργεια"
"Add Sitemap","Εισαγωγή Χάρτη Ιστότοπου"
"Always","Πάντα"
"CMS Pages Options","Επιλογές Σελίδων CMS"
"Categories Options","Επιλογές Κατηγοριών"
"Daily","Ημερήσια"
"Edit Sitemap","Επεξεργασία Χάρτη Ιστότοπου"
"Enabled","Ενεργοποιημένο"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Πρότυπο Email Σφάλματος"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Το Αρχείο ""%s"" δεν μπορεί να αποθηκευτεί. Παρακαλώ βεβαιωθείτε ότι ο κατάλογος ""%s"" είναι εγγράψιμος από τον διαδικτυακό εξυπηρετητή."
"Filename","Όνομα Αρχείου"
"Frequency","Συχνότητα"
"Generate","Δημιουργήστε"
"Generation Settings","Παράμετροι Δημιουργιας"
"Google Sitemap","Χάρτης Ιστότοπου Google"
"Hourly","Ωριαία"
"ID","ID"
"Last Time Generated","Τελευταία Φορά Που Δημιουργήθηκε"
"Link for Google","Σύνδεσμος για το Google"
"Monthly","Μηνιαία"
"Never","Ποτέ"
"New Sitemap","Νέος Χάρτης Ιστότοπου"
"Path","Διαδρομή"
"Please create the specified folder ""%s"" before saving the sitemap.","Παρακαλούμε δημιουργήστε το συγκεκριμένο φάκελο ""%s"" πριν αποθηκευτεί ο χάρτης ιστότοπου."
"Please define correct path","Παρακαλούμε καθορίστε σωστή διαδρομή"
"Please make sure that ""%s"" is writable by web-server.","Παρακαλώ βεβαιωθείτε ότι ""%s"" είναι εγγράψιμος από τον διαδικτυακό εξυπηρετητή."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aA-zZ αΑ-ωΩ) ή αριθμούς (0-9) ή την κάτω παύλα (_) σε αυτό το πεδίο. Δεν επιτρέπονται κενά ή άλλοι χαρακτήρες."
"Priority","Προτεραιότητα"
"Products Options","Επιλογές Προϊόντων"
"Sitemap","Χάρτης Ιστότοπου"
"Sitemap generate Warnings","Προειδοποιήσεις δημιουργίας Χάρτη Ιστότοπου"
"Start Time","Ώρα Έναρξης"
"Store View","Όψη Καταστήματος"
"The priority must be between 0 and 1.","Η προτεραιότητα πρέπει να είναι μεταξύ 0 και 1."
"The sitemap ""%s"" has been generated.","Ο χάρτης ιστοτόπου ""%s"" έχει δημιουργηθεί."
"The sitemap has been deleted.","Ο χάρτης ιστοτόπου έχει διαγραφεί."
"The sitemap has been saved.","Ο χάρτης ιστοτόπου έχει αποθηκευτεί. "
"This sitemap no longer exists.","Ο χάρτης ιστοτόπου δεν υπάρχει πλέον."
"Unable to find a sitemap to delete.","Αδύνατον να βρεθεί χάρτης ιστοτόπου για διαγραφή."
"Unable to find a sitemap to generate.","Αδύνατον να βρεθεί χάρτης ιστοτόπου να δημιουργηθεί."
"Unable to generate the sitemap.","Αδύνατον να δημιουργηθεί ο χάρτης ιστοτόπου."
"Valid values range: from 0.0 to 1.0.","Διακύμανση Έγκυρων τιμών: μεταξύ 0,0 και 1,0."
"Weekly","Εβδομαδιαία"
"Yearly","Ετήσια"
