"All Websites","Όλους τους Ιστότοπους"
"Apply Discounts To FPT","Εφαρμογή Εκπτώσεων Στη Σταθερή Φορολογία Προϊόντος ΣΦΠ"
"Display Prices In Emails","Εμφάνιση Τιμών στα Email"
"Display Prices In Product Lists","Εμφάνιση Τιμών στη Λίστα Προϊόντων"
"Display Prices In Sales Modules","Εμφάνιση Τιμών στην Ενότητα Λειτουργίας Πωλήσεων"
"Display Prices On Product View Page","Εμφάνιση Τιμών Στην Εμφάνιση Σελίδας Προϊόντος"
"Enable FPT","Ενεργοποίηση Σταθερής Φορολογίας Προϊόντος ΣΦΠ"
"Excluding FPT","Μη Συμπεριλαμβανόμενη Σταθερής Φορολογίας Προϊόντος ΣΦΠ"
"Excluding FPT, FPT description, final price","Μη Συμπεριλαμβανόμενη Σταθερή Φορολογία Προϊόντος ΣΦΠ, περιγραφή ΣΦΠ, τελική τιμή"
"FPT Tax Configuration","Διαμόρφωση Φόρου, Σταθερής Φορολογίας Προϊόντος ΣΦΠ"
"Fixed Product Tax","Σταθερή Φορολογία Προϊόντος ΣΦΠ"
"Fixed Product Taxes","Σταθερές Φορολογίες Προϊόντος ΣΦΠ"
"Include FPT In Subtotal","Συμπεριλαμβάνεται ο ΣΦΠ στο Μερικό Σύνολο"
"Including FPT and FPT description","Συμπεριλαμβάνεται η Σταθερή Φορολογία Προϊόντος ΣΦΠ και η περιγραφή της"
"Including FPT and FPT description [incl. FPT VAT]","Συμπεριλαμβάνεται η Σταθερή Φορολογία Προϊόντος ΣΦΠ και η περιγραφή της  [συμπ. ΦΠΑ ΣΦΠ]"
"Including FPT only","Συμπεριλαμβάνεται μόνο η Σταθερή Φορολογία Προϊόντος ΣΦΠ"
"Loaded and Displayed with Tax","Φόρτωση και Εμφάνιση μαζί με Φόρο"
"Not Taxed","Δεν Φορολογείται "
"Taxed","Φορολογημένο "
"Total","Σύνολο"
"Total Incl. Tax","Το Σύνολο Συμπ. Φόρο"
"Total excl. tax","Το Σύνολο δεν συμπ. φόρο"
"Total incl. tax","Το Σύνολο συμπ. φόρο"
